System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:56:04:585, 298672317653862,    0.107,    8.000, 3900,  22.929,   2.457,   0.683,  20.796,   2.229,   0.619, 67,  0,   0.878,   0.094,   0.026,   0.484,   0.052,   0.014,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:56:04:694, 298672559131904,    0.217,    8.000, 4000,  21.232,   4.779,   1.328,  19.693,   4.382,   1.217, 67,  0,   0.703,   0.171,   0.047,   0.000,   0.052,   0.014,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:56:04:804, 298672800535742,    0.326,    9.000, 3900,  24.743,   7.484,   2.079,  23.088,   6.906,   1.918, 63,  0,   0.787,   0.257,   0.071,   0.135,   0.067,   0.018,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:56:04:913, 298673042014414,    0.435,   17.000, 3900,  31.333,  10.911,   3.031,  29.467,  10.129,   2.814, 69,  0,   1.009,   0.367,   0.102,   0.088,   0.076,   0.021,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:56:05:022, 298673283619631,    0.545,   13.000, 3900,  27.296,  13.898,   3.860,  25.450,  12.914,   3.587, 61,  0,   0.948,   0.471,   0.131,   0.126,   0.090,   0.025,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:56:05:132, 298673525244827,    0.654,   10.000, 3900,  22.978,  16.412,   4.559,  20.815,  15.192,   4.220, 67,  0,   0.940,   0.574,   0.159,   0.336,   0.127,   0.035,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:56:05:241, 298673766642065,    0.763,   10.000, 3900,  22.804,  18.905,   5.251,  20.628,  17.447,   4.846, 68,  0,   1.036,   0.687,   0.191,   0.499,   0.181,   0.050,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:56:05:350, 298674008292561,    0.873,    9.000, 3900,  21.206,  21.226,   5.896,  19.618,  19.594,   5.443, 60,  0,   0.849,   0.780,   0.217,   0.107,   0.193,   0.054,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:56:05:460, 298674250803752,    0.983,    1.000, 4000,   8.200,  22.127,   6.146,   6.032,  20.257,   5.627, 55,  0,   0.800,   0.868,   0.241,   0.340,   0.230,   0.064,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:56:05:570, 298674492161484,    1.092,    1.000, 4000,   7.092,  22.902,   6.362,   5.312,  20.837,   5.788, 52,  0,   0.783,   0.954,   0.265,   0.272,   0.260,   0.072,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
