System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:46:44:184, 297434948850032,    0.104,   10.000, 3900,  23.745,   2.480,   0.689,  21.671,   2.263,   0.629, 65,  0,   0.835,   0.087,   0.024,   0.295,   0.031,   0.009,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:46:44:287, 297435176240186,    0.207,    8.000, 4000,  22.842,   4.832,   1.342,  20.004,   4.323,   1.201, 68,  0,   0.728,   0.162,   0.045,   0.047,   0.036,   0.010,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:46:44:397, 297435419905578,    0.318,   17.000, 3900,  26.915,   7.802,   2.167,  22.232,   6.777,   1.882, 64,  0,   0.747,   0.245,   0.068,   0.192,   0.057,   0.016,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:46:44:913, 297436558378280,    0.833,   15.000, 3900,  36.508,  26.626,   7.396,  27.038,  20.718,   5.755, 67,  0,   0.879,   0.698,   0.194,   0.136,   0.127,   0.035,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:46:45:069, 297436903539292,    0.990,    3.000, 3900,  17.884,  29.422,   8.173,  13.512,  22.830,   6.342, 54,  0,   0.713,   0.809,   0.225,   0.067,   0.138,   0.038,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:46:45:180, 297437148054311,    1.100,    2.000, 3900,   8.879,  30.405,   8.446,   7.247,  23.633,   6.565, 52,  0,   0.778,   0.895,   0.249,   0.000,   0.138,   0.038,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:46:45:289, 297437389423534,    1.210,    1.000, 3900,   6.805,  31.149,   8.652,   5.353,  24.218,   6.727, 51,  0,   0.596,   0.961,   0.267,   0.000,   0.138,   0.038,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:46:45:399, 297437631251370,    1.319,    1.000, 3900,   6.308,  31.840,   8.844,   4.866,  24.751,   6.875, 50,  0,   0.572,   1.023,   0.284,   0.000,   0.138,   0.038,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:46:45:508, 297437873095302,    1.429,    1.000, 4000,   6.635,  32.566,   9.046,   5.162,  25.316,   7.032, 50,  0,   0.581,   1.087,   0.302,   0.000,   0.138,   0.038,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:46:45:618, 297438114381722,    1.538,    4.000, 4000,  10.875,  33.755,   9.376,   9.438,  26.347,   7.319, 64,  0,   0.677,   1.161,   0.322,   0.000,   0.138,   0.038,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:46:45:789, 297438493784221,    1.710,    8.000, 4000,  21.496,  37.448,  10.402,  19.614,  29.718,   8.255, 74,  0,   0.815,   1.301,   0.361,   0.199,   0.172,   0.048,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:46:45:914, 297438769972820,    1.835,    8.000, 3900,  22.048,  40.206,  11.168,  20.443,  32.275,   8.965, 66,  0,   0.702,   1.389,   0.386,   0.000,   0.172,   0.048,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:46:46:039, 297439045961944,    1.960,    8.000, 3900,  18.885,  42.567,  11.824,  17.321,  34.440,   9.567, 75,  0,   0.663,   1.472,   0.409,   0.000,   0.172,   0.048,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:46:46:149, 297439287802568,    2.070,    7.000, 3900,  18.082,  44.547,  12.374,  16.458,  36.242,  10.067, 54,  0,   0.778,   1.557,   0.432,   0.000,   0.172,   0.048,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
