System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:12:06:592, 284898792147830,    0.108,    9.000, 3900,  22.614,   2.431,   0.675,  20.399,   2.193,   0.609, 64,  0,   0.906,   0.097,   0.027,   0.418,   0.045,   0.012,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:12:06:702, 284899033919510,    0.217,    8.000, 3900,  21.463,   4.781,   1.328,  19.926,   4.375,   1.215, 70,  0,   0.722,   0.176,   0.049,   0.000,   0.045,   0.012,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:12:06:811, 284899275338685,    0.326,    8.000, 4000,  22.211,   7.210,   2.003,  20.694,   6.638,   1.844, 66,  0,   0.705,   0.253,   0.070,   0.000,   0.045,   0.012,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:12:06:921, 284899516661689,    0.436,   21.000, 3900,  37.670,  11.327,   3.146,  35.188,  10.483,   2.912, 66,  0,   1.366,   0.403,   0.112,   0.529,   0.103,   0.029,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:12:07:030, 284899758160169,    0.545,   21.000, 3900,  35.614,  15.222,   4.228,  33.802,  14.180,   3.939, 64,  0,   1.119,   0.525,   0.146,   0.174,   0.122,   0.034,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:12:07:139, 284899999639792,    0.654,    8.000, 3900,  21.219,  17.543,   4.873,  19.645,  16.329,   4.536, 63,  0,   0.770,   0.609,   0.169,   0.000,   0.122,   0.034,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:12:07:249, 284900241710092,    0.764,    2.000, 3900,  10.628,  18.708,   5.197,   8.276,  17.236,   4.788, 54,  0,   0.839,   0.701,   0.195,   0.498,   0.176,   0.049,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:12:07:359, 284900483897650,    0.874,    1.000, 3900,   7.635,  19.545,   5.429,   5.661,  17.857,   4.960, 53,  0,   0.828,   0.792,   0.220,   0.464,   0.227,   0.063,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:12:07:468, 284900725367874,    0.983,    1.000, 4000,   5.347,  20.130,   5.592,   3.941,  18.288,   5.080, 51,  0,   0.691,   0.868,   0.241,   0.000,   0.227,   0.063,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:12:07:577, 284900966849122,    1.092,    0.000, 4000,   2.058,  20.355,   5.654,   0.863,  18.383,   5.106, 49,  0,   0.589,   0.932,   0.259,   0.000,   0.227,   0.063,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
