System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:51:20:251, 290095684989802,    0.114,    9.000, 3900,  21.697,   2.467,   0.685,  19.815,   2.253,   0.626, 69,  0,   0.827,   0.094,   0.026,   0.306,   0.035,   0.010,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:51:20:360, 290095926289727,    0.223,    9.000, 4000,  22.421,   4.917,   1.366,  20.638,   4.509,   1.252, 70,  0,   0.818,   0.183,   0.051,   0.000,   0.035,   0.010,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:51:20:470, 290096167996450,    0.332,   10.000, 4000,  25.173,   7.673,   2.131,  23.330,   7.063,   1.962, 69,  0,   0.872,   0.279,   0.077,   0.372,   0.076,   0.021,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:51:20:579, 290096409489668,    0.442,   15.000, 3900,  31.970,  11.170,   3.103,  29.906,  10.333,   2.870, 67,  0,   0.968,   0.385,   0.107,   0.102,   0.087,   0.024,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:51:20:689, 290096650994416,    0.551,   12.000, 3900,  25.748,  13.986,   3.885,  23.917,  12.949,   3.597, 69,  0,   0.945,   0.488,   0.136,   0.164,   0.105,   0.029,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:51:20:798, 290096892681879,    0.661,    8.000, 4000,  21.260,  16.313,   4.531,  18.983,  15.027,   4.174, 60,  0,   0.938,   0.591,   0.164,   0.448,   0.154,   0.043,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:51:20:907, 290097134342262,    0.770,    3.000, 3700,  12.453,  17.676,   4.910,  10.519,  16.178,   4.494, 57,  0,   0.876,   0.686,   0.191,   0.312,   0.188,   0.052,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:51:21:017, 290097375763678,    0.879,    3.000, 3900,   9.544,  18.720,   5.200,   7.746,  17.025,   4.729, 56,  0,   0.838,   0.778,   0.216,   0.123,   0.201,   0.056,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:51:21:126, 290097617025432,    0.989,    3.000, 4000,  12.298,  20.063,   5.573,  10.550,  18.178,   5.049, 54,  0,   0.752,   0.860,   0.239,   0.160,   0.219,   0.061,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:51:21:235, 290097858486931,    1.098,    1.000, 3900,   8.229,  20.963,   5.823,   6.653,  18.906,   5.252, 54,  0,   0.616,   0.928,   0.258,   0.000,   0.219,   0.061,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
