System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
02:05:42:842, 299949113039997,    0.104,   17.000, 3900,  31.926,   3.331,   0.925,  29.373,   3.064,   0.851, 71,  0,   1.841,   0.192,   0.053,   0.365,   0.038,   0.011,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:05:42:951, 299949354509802,    0.214,   16.000, 4000,  31.128,   6.735,   1.871,  29.337,   6.272,   1.742, 74,  0,   1.735,   0.382,   0.106,   0.000,   0.038,   0.011,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:05:43:061, 299949596016108,    0.323,   16.000, 3900,  33.107,  10.356,   2.877,  31.264,   9.692,   2.692, 77,  0,   1.743,   0.572,   0.159,   0.166,   0.056,   0.016,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:05:43:170, 299949837510922,    0.432,   23.000, 3900,  41.696,  14.916,   4.143,  39.117,  13.970,   3.881, 81,  0,   1.388,   0.724,   0.201,   0.463,   0.107,   0.030,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:05:43:295, 299950113397525,    0.557,   24.000, 3900,  39.052,  19.796,   5.499,  37.023,  18.596,   5.166, 74,  0,   1.314,   0.888,   0.247,   0.150,   0.126,   0.035,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:05:43:405, 299950354994315,    0.667,   16.000, 3900,  31.072,  23.196,   6.443,  29.227,  21.794,   6.054, 67,  0,   1.080,   1.007,   0.280,   0.136,   0.141,   0.039,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:05:43:514, 299950596427960,    0.776,   10.000, 3900,  19.739,  25.354,   7.043,  17.583,  23.717,   6.588, 69,  0,   1.197,   1.137,   0.316,   0.286,   0.172,   0.048,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:05:43:623, 299950838481013,    0.886,    4.000, 4000,  11.888,  26.657,   7.405,   9.965,  24.809,   6.891, 53,  0,   0.873,   1.233,   0.343,   0.281,   0.203,   0.056,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:05:43:733, 299951080650058,    0.995,    0.000, 4000,   2.932,  26.979,   7.494,   1.707,  24.996,   6.943, 51,  0,   0.597,   1.299,   0.361,   0.000,   0.203,   0.056,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:05:43:842, 299951321281426,    1.104,    2.000, 4000,   8.280,  27.881,   7.745,   6.436,  25.698,   7.138, 53,  0,   0.871,   1.394,   0.387,   0.328,   0.238,   0.066,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:05:43:952, 299951563656888,    1.214,    0.000, 4100,   1.662,  28.064,   7.795,   0.434,  25.746,   7.152, 49,  0,   0.616,   1.461,   0.406,   0.000,   0.238,   0.066,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:05:44:061, 299951805236199,    1.324,    0.000, 3900,   4.024,  28.504,   7.918,   2.807,  26.053,   7.237, 54,  0,   0.613,   1.528,   0.425,   0.000,   0.238,   0.066,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:05:44:171, 299952046652804,    1.433,    0.000, 4000,   1.894,  28.711,   7.975,   0.713,  26.131,   7.259, 48,  0,   0.602,   1.594,   0.443,   0.000,   0.238,   0.066,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:05:44:280, 299952287235770,    1.542,    2.000, 3900,   7.711,  29.551,   8.209,   6.166,  26.802,   7.445, 50,  0,   0.925,   1.695,   0.471,   0.000,   0.238,   0.066,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:05:44:389, 299952528518428,    1.651,    2.000, 4000,   8.503,  30.480,   8.467,   6.839,  27.550,   7.653, 51,  0,   0.997,   1.804,   0.501,   0.000,   0.238,   0.066,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:05:44:498, 299952770145449,    1.761,    8.000, 4000,  19.735,  32.640,   9.067,  17.666,  29.483,   8.190, 56,  0,   0.957,   1.909,   0.530,   0.321,   0.273,   0.076,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:05:44:608, 299953012605062,    1.870,    0.000, 4000,   1.891,  32.848,   9.124,   0.666,  29.556,   8.210, 49,  0,   0.604,   1.975,   0.549,   0.000,   0.273,   0.076,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:05:44:718, 299953254156876,    1.980,    0.000, 4000,   1.480,  33.010,   9.169,   0.330,  29.592,   8.220, 49,  0,   0.581,   2.038,   0.566,   0.000,   0.273,   0.076,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:05:44:827, 299953495619746,    2.089,    0.000, 4100,   2.572,  33.291,   9.247,   1.390,  29.744,   8.262, 48,  0,   0.584,   2.102,   0.584,   0.000,   0.273,   0.076,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
