System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:05:25:896, 291962874408248,    0.113,    8.000, 3900,  22.571,   2.553,   0.709,  20.365,   2.303,   0.640, 69,  0,   0.862,   0.097,   0.027,   0.335,   0.038,   0.011,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:05:26:006, 291963115864984,    0.222,    8.000, 3900,  21.485,   4.903,   1.362,  19.914,   4.481,   1.245, 70,  0,   0.700,   0.174,   0.048,   0.000,   0.038,   0.011,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:05:26:115, 291963357368077,    0.332,   10.000, 3900,  25.110,   7.649,   2.125,  23.203,   7.019,   1.950, 66,  0,   0.865,   0.269,   0.075,   0.377,   0.079,   0.022,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:05:26:224, 291963598737702,    0.441,   18.000, 3900,  33.311,  11.290,   3.136,  31.289,  10.439,   2.900, 70,  0,   1.031,   0.381,   0.106,   0.099,   0.090,   0.025,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:05:26:334, 291963840488044,    0.551,   12.000, 4000,  25.694,  14.104,   3.918,  23.888,  13.055,   3.626, 65,  0,   0.944,   0.485,   0.135,   0.115,   0.103,   0.029,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:05:26:459, 291964116612382,    0.676,    8.000, 3900,  19.809,  16.581,   4.606,  17.665,  15.264,   4.240, 59,  0,   0.909,   0.598,   0.166,   0.348,   0.146,   0.041,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:05:26:568, 291964358735270,    0.785,    1.000, 4000,   7.357,  17.388,   4.830,   5.521,  15.869,   4.408, 55,  0,   0.780,   0.684,   0.190,   0.240,   0.172,   0.048,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:05:26:678, 291964600287448,    0.895,    3.000, 3900,  10.742,  18.563,   5.156,   8.938,  16.847,   4.680, 56,  0,   1.074,   0.801,   0.223,   0.000,   0.172,   0.048,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:05:26:787, 291964841142631,    1.004,    3.000, 3900,  11.889,  19.860,   5.517,  10.136,  17.953,   4.987, 55,  0,   0.859,   0.895,   0.249,   0.079,   0.181,   0.050,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:05:26:896, 291965082233479,    1.113,    1.000, 4000,   7.918,  20.724,   5.757,   6.327,  18.644,   5.179, 54,  0,   0.646,   0.966,   0.268,   0.000,   0.181,   0.050,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
