System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:10:06:936, 292583411940462,    0.112,   11.000, 3400,  16.458,   1.849,   0.514,  14.389,   1.617,   0.449, 64,  0,   0.869,   0.098,   0.027,   0.419,   0.047,   0.013,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:07:045, 292583653389900,    0.222,   11.000, 3300,  16.282,   3.630,   1.008,  14.658,   3.220,   0.894, 63,  0,   0.766,   0.181,   0.050,   0.000,   0.047,   0.013,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:07:155, 292583894825393,    0.331,    7.000, 3400,  13.137,   5.066,   1.407,  11.506,   4.478,   1.244, 64,  0,   0.645,   0.252,   0.070,   0.000,   0.047,   0.013,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:07:264, 292584136381266,    0.440,   14.000, 3300,  19.141,   7.160,   1.989,  17.055,   6.344,   1.762, 61,  0,   1.009,   0.362,   0.101,   0.447,   0.096,   0.027,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:07:373, 292584377904364,    0.550,   19.000, 3100,  19.223,   9.263,   2.573,  17.542,   8.263,   2.295, 62,  0,   0.936,   0.465,   0.129,   0.000,   0.096,   0.027,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:07:483, 292584619380226,    0.659,   12.000, 3100,  13.920,  10.785,   2.996,  11.956,   9.570,   2.658, 61,  0,   0.881,   0.561,   0.156,   0.158,   0.113,   0.031,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:07:592, 292584861137824,    0.769,    8.000, 3200,  11.549,  12.050,   3.347,   9.759,  10.639,   2.955, 57,  0,   0.785,   0.647,   0.180,   0.131,   0.128,   0.035,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:07:702, 292585102497703,    0.878,    5.000, 3400,   9.385,  13.076,   3.632,   7.345,  11.442,   3.178, 56,  0,   0.829,   0.738,   0.205,   0.460,   0.178,   0.049,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:07:811, 292585345002324,    0.988,    1.000, 3700,   4.310,  13.549,   3.764,   2.562,  11.723,   3.256, 53,  0,   0.728,   0.818,   0.227,   0.220,   0.202,   0.056,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:07:921, 292585586411768,    1.097,    0.000, 4000,   3.970,  13.983,   3.884,   2.611,  12.008,   3.336, 54,  0,   0.678,   0.892,   0.248,   0.048,   0.207,   0.058,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:08:030, 292585826975276,    1.206,    1.000, 3900,   5.428,  14.574,   4.048,   3.785,  12.421,   3.450, 52,  0,   0.751,   0.974,   0.270,   0.289,   0.239,   0.066,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:08:140, 292586069594754,    1.316,    0.000, 3900,   4.267,  15.043,   4.179,   2.830,  12.732,   3.537, 52,  0,   0.648,   1.045,   0.290,   0.000,   0.239,   0.066,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:08:249, 292586311489698,    1.426,    5.000, 4000,  13.745,  16.549,   4.597,  11.957,  14.042,   3.900, 54,  0,   0.744,   1.126,   0.313,   0.267,   0.268,   0.074,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:08:358, 292586551862350,    1.534,    1.000, 4000,   5.363,  17.133,   4.759,   3.814,  14.457,   4.016, 54,  0,   0.768,   1.210,   0.336,   0.113,   0.280,   0.078,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:08:483, 292586827783080,    1.659,    1.000, 4000,   8.109,  18.146,   5.041,   6.425,  15.260,   4.239, 54,  0,   0.928,   1.326,   0.368,   0.000,   0.280,   0.078,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:08:592, 292587069482060,    1.769,    4.000, 4000,  12.700,  19.537,   5.427,  10.972,  16.461,   4.572, 61,  0,   0.788,   1.412,   0.392,   0.133,   0.295,   0.082,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:08:702, 292587311927416,    1.879,    4.000, 4000,  12.614,  20.922,   5.812,  10.872,  17.655,   4.904, 53,  0,   0.806,   1.501,   0.417,   0.153,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:08:812, 292587553422252,    1.988,    0.000, 4000,   1.527,  21.089,   5.858,   0.277,  17.685,   4.912, 52,  0,   0.599,   1.566,   0.435,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:08:921, 292587794999477,    2.097,    0.000, 4000,   1.532,  21.256,   5.905,   0.364,  17.725,   4.924, 51,  0,   0.576,   1.629,   0.453,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:09:030, 292588036499244,    2.207,    0.000, 4000,   1.463,  21.416,   5.949,   0.280,  17.755,   4.932, 52,  0,   0.576,   1.692,   0.470,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:09:140, 292588277716928,    2.316,    0.000, 4000,   1.436,  21.573,   5.993,   0.269,  17.785,   4.940, 51,  0,   0.574,   1.755,   0.487,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:09:249, 292588519218546,    2.425,    0.000, 4000,   2.715,  21.870,   6.075,   1.498,  17.949,   4.986, 51,  0,   0.585,   1.819,   0.505,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:09:358, 292588760691152,    2.535,    0.000, 4000,   1.778,  22.065,   6.129,   0.578,  18.012,   5.003, 51,  0,   0.591,   1.884,   0.523,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:09:468, 292589002220224,    2.644,    0.000, 4000,   1.721,  22.253,   6.181,   0.524,  18.069,   5.019, 51,  0,   0.582,   1.947,   0.541,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:09:577, 292589243668430,    2.754,    0.000, 4000,   1.802,  22.450,   6.236,   0.609,  18.136,   5.038, 51,  0,   0.583,   2.011,   0.559,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:09:686, 292589485111962,    2.863,    6.000, 3900,  15.640,  24.160,   6.711,  14.203,  19.689,   5.469, 53,  0,   0.737,   2.092,   0.581,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:09:796, 292589726600822,    2.972,    0.000, 4000,   1.687,  24.345,   6.762,   0.496,  19.743,   5.484, 51,  0,   0.582,   2.155,   0.599,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:09:905, 292589968164658,    3.082,    0.000, 3900,   1.707,  24.531,   6.814,   0.526,  19.800,   5.500, 52,  0,   0.580,   2.219,   0.616,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:10:015, 292590209688295,    3.191,    0.000, 3900,   1.550,  24.701,   6.861,   0.368,  19.841,   5.511, 51,  0,   0.581,   2.282,   0.634,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:10:124, 292590451171744,    3.300,    0.000, 4100,   2.284,  24.951,   6.931,   1.085,  19.959,   5.544, 51,  0,   0.584,   2.346,   0.652,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:10:233, 292590692681234,    3.410,    0.000, 4000,   1.798,  25.147,   6.985,   0.612,  20.026,   5.563, 51,  0,   0.584,   2.410,   0.669,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:10:343, 292590934224767,    3.519,    0.000, 4100,   1.728,  25.336,   7.038,   0.530,  20.084,   5.579, 51,  0,   0.583,   2.474,   0.687,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:10:452, 292591175604810,    3.629,    0.000, 4100,   1.554,  25.506,   7.085,   0.356,  20.123,   5.590, 51,  0,   0.579,   2.537,   0.705,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:10:561, 292591417183752,    3.738,    0.000, 4000,   1.512,  25.672,   7.131,   0.338,  20.160,   5.600, 51,  0,   0.577,   2.600,   0.722,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:10:671, 292591658592882,    3.847,    0.000, 4100,   1.531,  25.839,   7.178,   0.360,  20.200,   5.611, 51,  0,   0.576,   2.663,   0.740,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:10:780, 292591900205968,    3.957,    0.000, 4000,   1.572,  26.011,   7.225,   0.386,  20.242,   5.623, 51,  0,   0.579,   2.727,   0.757,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:10:887, 292592135303306,    4.063,    0.000, 4000,   1.413,  26.162,   7.267,   0.236,  20.267,   5.630, 51,  0,   0.573,   2.788,   0.774,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:10:996, 292592376867342,    4.173,    0.000, 4100,   1.482,  26.324,   7.312,   0.314,  20.301,   5.639, 51,  0,   0.576,   2.851,   0.792,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:11:105, 292592618321724,    4.282,    0.000, 4100,   1.576,  26.496,   7.360,   0.388,  20.344,   5.651, 51,  0,   0.578,   2.914,   0.809,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:11:215, 292592859863446,    4.391,    0.000, 3900,   2.142,  26.731,   7.425,   0.956,  20.448,   5.680, 51,  0,   0.595,   2.979,   0.827,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:11:324, 292593101235298,    4.501,    0.000, 4100,   1.596,  26.905,   7.474,   0.408,  20.493,   5.692, 51,  0,   0.579,   3.042,   0.845,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:11:425, 292593324644002,    4.602,    0.000, 4100,   1.549,  27.062,   7.517,   0.349,  20.528,   5.702, 51,  0,   0.580,   3.101,   0.861,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:10:11:535, 292593567325036,    4.712,    0.000, 4100,   1.509,  27.228,   7.563,   0.330,  20.565,   5.712, 51,  0,   0.576,   3.164,   0.879,   0.000,   0.312,   0.087,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
