System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:48:07:347, 297618573674836,    0.109,    9.000, 3900,  22.050,   2.407,   0.668,  20.045,   2.188,   0.608, 68,  0,   0.838,   0.091,   0.025,   0.306,   0.033,   0.009,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:48:07:456, 297618815172026,    0.219,    8.000, 4000,  21.104,   4.715,   1.310,  19.366,   4.306,   1.196, 70,  0,   0.706,   0.169,   0.047,   0.000,   0.033,   0.009,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:48:07:566, 297619056644543,    0.328,    9.000, 4000,  24.501,   7.394,   2.054,  22.650,   6.783,   1.884, 67,  0,   0.842,   0.261,   0.072,   0.314,   0.068,   0.019,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:48:07:675, 297619298193034,    0.437,   17.000, 3900,  33.045,  11.009,   3.058,  31.572,  10.237,   2.844, 72,  0,   1.005,   0.371,   0.103,   0.079,   0.076,   0.021,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:48:07:800, 297619574239906,    0.562,   13.000, 3900,  27.332,  14.426,   4.007,  25.193,  13.386,   3.718, 67,  0,   0.945,   0.489,   0.136,   0.102,   0.089,   0.025,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:48:07:910, 297619816145742,    0.672,    8.000, 4000,  20.935,  16.720,   4.644,  18.683,  15.433,   4.287, 64,  0,   0.905,   0.588,   0.163,   0.389,   0.132,   0.037,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:48:08:019, 297620057199923,    0.781,    1.000, 3900,   7.545,  17.544,   4.873,   5.618,  16.047,   4.457, 55,  0,   0.813,   0.677,   0.188,   0.315,   0.166,   0.046,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:48:08:129, 297620299476366,    0.891,    1.000, 3900,   9.488,  18.585,   5.162,   7.869,  16.910,   4.697, 55,  0,   0.718,   0.756,   0.210,   0.000,   0.166,   0.046,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:48:08:238, 297620540306506,    1.000,    4.000, 4000,  13.667,  20.075,   5.577,  11.941,  18.213,   5.059, 55,  0,   0.918,   0.856,   0.238,   0.086,   0.176,   0.049,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:48:08:347, 297620782150910,    1.109,    1.000, 3900,   7.996,  20.951,   5.820,   6.312,  18.904,   5.251, 54,  0,   0.744,   0.937,   0.260,   0.000,   0.176,   0.049,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
