System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:37:14:256, 288227722425352,    0.101,   13.000, 3900,  34.618,   3.485,   0.968,  26.151,   2.633,   0.731, 69,  0,   0.945,   0.095,   0.026,   0.166,   0.017,   0.005,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:37:14:506, 288228274281438,    0.351,   25.000, 3900,  35.528,  12.365,   3.435,  29.025,   9.887,   2.746, 70,  0,   0.865,   0.311,   0.086,   0.173,   0.060,   0.017,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:37:14:615, 288228515789020,    0.460,   22.000, 3900,  37.047,  16.417,   4.560,  35.078,  13.724,   3.812, 71,  0,   1.253,   0.448,   0.125,   0.283,   0.091,   0.025,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:37:14:725, 288228757459893,    0.569,   17.000, 3900,  33.102,  20.040,   5.567,  30.913,  17.108,   4.752, 66,  0,   1.069,   0.565,   0.157,   0.154,   0.108,   0.030,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:37:14:834, 288228999299286,    0.679,    9.000, 3900,  21.358,  22.380,   6.217,  19.164,  19.207,   5.335, 59,  0,   0.939,   0.668,   0.186,   0.434,   0.155,   0.043,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:37:14:944, 288229241329888,    0.789,    2.000, 4000,   8.426,  23.303,   6.473,   6.483,  19.917,   5.533, 57,  0,   0.820,   0.758,   0.211,   0.403,   0.200,   0.055,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:37:15:053, 288229481983196,    0.898,    3.000, 3900,  12.528,  24.669,   6.852,  11.020,  21.118,   5.866, 61,  0,   0.703,   0.835,   0.232,   0.025,   0.202,   0.056,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:37:15:162, 288229723796536,    1.007,    2.000, 3900,  11.286,  25.905,   7.196,   9.393,  22.147,   6.152, 55,  0,   0.717,   0.913,   0.254,   0.095,   0.213,   0.059,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:37:15:272, 288229965225492,    1.116,    1.000, 3900,   8.679,  26.854,   7.459,   7.088,  22.922,   6.367, 55,  0,   0.701,   0.990,   0.275,   0.000,   0.213,   0.059,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:37:15:381, 288230206516473,    1.226,    1.000, 3900,   8.084,  27.737,   7.705,   6.602,  23.643,   6.568, 54,  0,   0.657,   1.062,   0.295,   0.000,   0.213,   0.059,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:37:15:490, 288230447923690,    1.335,    2.000, 4000,   9.409,  28.766,   7.991,   7.756,  24.492,   6.803, 54,  0,   0.784,   1.147,   0.319,   0.000,   0.213,   0.059,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:37:15:600, 288230689635844,    1.445,    6.000, 3700,  16.287,  30.549,   8.486,  14.629,  26.093,   7.248, 62,  0,   0.700,   1.224,   0.340,   0.074,   0.221,   0.061,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:37:15:709, 288230930939474,    1.554,    6.000, 3900,  14.321,  32.114,   8.920,  12.515,  27.461,   7.628, 71,  0,   0.877,   1.320,   0.367,   0.236,   0.246,   0.068,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:37:15:865, 288231275932524,    1.710,   16.000, 4000,  29.124,  36.664,  10.185,  27.184,  31.708,   8.808, 78,  0,   0.819,   1.448,   0.402,   0.154,   0.270,   0.075,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:37:15:990, 288231552076539,    1.835,    9.000, 3900,  25.157,  39.811,  11.059,  23.504,  34.648,   9.624, 74,  0,   0.704,   1.536,   0.427,   0.014,   0.272,   0.076,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:37:16:240, 288232104366151,    2.085,    4.000, 3900,  15.544,  43.699,  12.139,  13.934,  38.133,  10.592, 56,  0,   0.671,   1.704,   0.473,   0.000,   0.272,   0.076,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:37:16:350, 288232346605392,    2.195,    0.000, 4000,   1.724,  43.888,  12.191,   0.555,  38.194,  10.609, 53,  0,   0.573,   1.767,   0.491,   0.000,   0.272,   0.076,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:37:16:460, 288232588147512,    2.304,    0.000, 3900,   1.666,  44.070,  12.242,   0.484,  38.247,  10.624, 52,  0,   0.582,   1.830,   0.508,   0.000,   0.272,   0.076,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:37:16:569, 288232829624210,    2.414,    0.000, 3900,   1.732,  44.259,  12.294,   0.551,  38.307,  10.641, 51,  0,   0.579,   1.894,   0.526,   0.000,   0.272,   0.076,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
