System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
02:18:00:639, 301578172619390,    0.101,    8.000, 3900,  22.048,   2.234,   0.621,  20.070,   2.033,   0.565, 69,  0,   0.852,   0.086,   0.024,   0.317,   0.032,   0.009,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:18:00:748, 301578414132242,    0.211,    8.000, 3800,  19.863,   4.407,   1.224,  18.078,   4.011,   1.114, 69,  0,   0.708,   0.164,   0.046,   0.000,   0.032,   0.009,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:18:00:857, 301578655644729,    0.320,    9.000, 3600,  18.894,   6.473,   1.798,  17.372,   5.911,   1.642, 66,  0,   0.737,   0.244,   0.068,   0.000,   0.032,   0.009,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:18:00:967, 301578897075506,    0.429,   16.000, 3600,  27.539,   9.484,   2.635,  25.577,   8.708,   2.419, 66,  0,   1.016,   0.356,   0.099,   0.314,   0.066,   0.018,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:18:01:076, 301579138694798,    0.539,   16.000, 3300,  21.409,  11.827,   3.285,  19.342,  10.824,   3.007, 63,  0,   0.997,   0.465,   0.129,   0.105,   0.078,   0.022,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:18:01:186, 301579380189350,    0.648,    9.000, 3400,  13.182,  13.269,   3.686,  11.575,  12.090,   3.358, 63,  0,   0.801,   0.552,   0.153,   0.000,   0.078,   0.022,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:18:01:295, 301579621945166,    0.758,    6.000, 3400,  11.651,  14.544,   4.040,   9.276,  13.106,   3.641, 56,  0,   0.907,   0.652,   0.181,   0.561,   0.139,   0.039,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:18:01:404, 301579863088512,    0.867,    2.000, 3700,   7.265,  15.338,   4.261,   5.551,  13.712,   3.809, 55,  0,   0.803,   0.739,   0.205,   0.108,   0.151,   0.042,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:18:01:514, 301580104551340,    0.976,    3.000, 3800,  11.732,  16.621,   4.617,  10.022,  14.808,   4.113, 55,  0,   0.699,   0.816,   0.227,   0.090,   0.161,   0.045,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:18:01:623, 301580346130890,    1.086,    1.000, 4000,   8.081,  17.505,   4.863,   6.517,  15.521,   4.311, 55,  0,   0.619,   0.883,   0.245,   0.000,   0.161,   0.045,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:18:01:732, 301580587637620,    1.195,    1.000, 4000,   8.474,  18.432,   5.120,   6.874,  16.273,   4.520, 53,  0,   0.593,   0.948,   0.263,   0.000,   0.161,   0.045,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:18:01:842, 301580829456837,    1.305,    2.000, 3900,   9.135,  19.432,   5.398,   7.619,  17.107,   4.752, 54,  0,   0.590,   1.013,   0.281,   0.000,   0.161,   0.045,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:18:01:951, 301581070882560,    1.414,    1.000, 4000,   7.587,  20.262,   5.628,   6.044,  17.768,   4.936, 53,  0,   0.581,   1.076,   0.299,   0.000,   0.161,   0.045,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:18:02:061, 301581312425210,    1.523,    7.000, 3900,  18.264,  22.260,   6.183,  16.502,  19.574,   5.437, 56,  0,   0.773,   1.161,   0.323,   0.106,   0.173,   0.048,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:18:02:170, 301581553639270,    1.633,    8.000, 3900,  19.909,  24.435,   6.787,  18.142,  21.555,   5.988, 64,  0,   1.024,   1.273,   0.354,   0.135,   0.187,   0.052,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:18:02:358, 301581967716836,    1.820,    8.000, 3700,  18.666,  27.935,   7.760,  16.927,  24.730,   6.869, 68,  0,   0.688,   1.402,   0.389,   0.029,   0.193,   0.054,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:18:02:498, 301582278177714,    1.961,    8.000, 3700,  15.066,  30.054,   8.348,  13.430,  26.618,   7.394, 68,  0,   0.686,   1.498,   0.416,   0.000,   0.193,   0.054,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:18:02:670, 301582658705644,    2.133,    4.000, 3900,  11.326,  32.006,   8.890,   9.841,  28.314,   7.865, 54,  0,   0.686,   1.617,   0.449,   0.016,   0.196,   0.054,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
