System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:16:46:126, 285516003927232,    0.104,   10.000, 3900,  23.439,   2.446,   0.680,  21.209,   2.214,   0.615, 64,  0,   0.926,   0.097,   0.027,   0.364,   0.038,   0.011,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:16:46:235, 285516245426494,    0.214,    8.000, 4000,  21.732,   4.823,   1.340,  20.169,   4.420,   1.228, 69,  0,   0.717,   0.175,   0.049,   0.000,   0.038,   0.011,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:16:46:345, 285516486904042,    0.323,    8.000, 4000,  22.225,   7.254,   2.015,  20.693,   6.683,   1.856, 66,  0,   0.702,   0.252,   0.070,   0.000,   0.038,   0.011,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:16:46:454, 285516730079643,    0.433,   21.000, 3000,  38.215,  11.463,   3.184,  35.992,  10.647,   2.957, 67,  0,   1.317,   0.397,   0.110,   0.258,   0.066,   0.018,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:16:46:579, 285517004459653,    0.558,   22.000, 3900,  37.690,  16.146,   4.485,  35.904,  15.108,   4.197, 68,  0,   1.146,   0.539,   0.150,   0.113,   0.081,   0.022,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:16:46:704, 285517280448036,    0.683,   11.000, 3900,  23.383,  19.069,   5.297,  21.406,  17.784,   4.940, 69,  0,   0.927,   0.655,   0.182,   0.239,   0.110,   0.031,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:16:46:813, 285517521933836,    0.792,    9.000, 3900,  23.533,  21.643,   6.012,  21.443,  20.129,   5.591, 67,  0,   0.992,   0.764,   0.212,   0.426,   0.157,   0.044,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:16:46:938, 285517797990116,    0.917,    9.000, 3900,  22.844,  24.499,   6.805,  21.095,  22.766,   6.324, 62,  0,   0.881,   0.874,   0.243,   0.096,   0.169,   0.047,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:16:47:048, 285518040492876,    1.027,    1.000, 3900,   7.894,  25.366,   7.046,   5.879,  23.412,   6.503, 52,  0,   0.776,   0.959,   0.266,   0.330,   0.205,   0.057,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:16:47:158, 285518281836384,    1.136,    3.000, 3900,   8.999,  26.349,   7.319,   7.294,  24.209,   6.725, 53,  0,   0.816,   1.048,   0.291,   0.212,   0.228,   0.063,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
