System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
02:02:23:735, 299509484031292,    0.113,    9.000, 4000,  21.746,   2.463,   0.684,  19.721,   2.234,   0.621, 70,  0,   0.852,   0.096,   0.027,   0.384,   0.043,   0.012,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:23:845, 299509725532720,    0.223,    8.000, 3900,  22.461,   4.920,   1.367,  20.873,   4.517,   1.255, 69,  0,   0.713,   0.174,   0.048,   0.000,   0.043,   0.012,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:23:954, 299509966886717,    0.332,   10.000, 4000,  23.924,   7.535,   2.093,  21.753,   6.895,   1.915, 67,  0,   0.866,   0.269,   0.075,   0.371,   0.084,   0.023,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:24:063, 299510208411990,    0.441,   16.000, 3900,  32.040,  11.040,   3.067,  30.458,  10.226,   2.841, 68,  0,   0.990,   0.377,   0.105,   0.095,   0.094,   0.026,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:24:188, 299510484577752,    0.566,   13.000, 3900,  26.787,  14.390,   3.997,  24.731,  13.320,   3.700, 65,  0,   0.934,   0.494,   0.137,   0.168,   0.115,   0.032,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:24:314, 299510760925508,    0.692,    6.000, 4000,  18.094,  16.655,   4.626,  15.918,  15.312,   4.253, 58,  0,   0.907,   0.608,   0.169,   0.454,   0.172,   0.048,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:24:438, 299511036810291,    0.817,    2.000, 3900,   7.507,  17.593,   4.887,   5.638,  16.016,   4.449, 55,  0,   0.887,   0.719,   0.200,   0.210,   0.198,   0.055,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:24:548, 299511278869544,    0.926,    4.000, 4000,  12.216,  18.932,   5.259,  10.345,  17.150,   4.764, 55,  0,   0.833,   0.810,   0.225,   0.188,   0.219,   0.061,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:24:657, 299511520126584,    1.035,    2.000, 4100,   8.349,  19.844,   5.512,   6.607,  17.872,   4.965, 56,  0,   1.081,   0.928,   0.258,   0.000,   0.219,   0.061,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:24:766, 299511760998488,    1.145,    2.000, 3900,   8.644,  20.787,   5.774,   6.979,  18.634,   5.176, 54,  0,   0.810,   1.017,   0.282,   0.000,   0.219,   0.061,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:24:876, 299512002485404,    1.254,    2.000, 4000,   7.531,  21.611,   6.003,   5.913,  19.280,   5.356, 54,  0,   0.883,   1.113,   0.309,   0.000,   0.219,   0.061,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:24:985, 299512244581442,    1.364,    2.000, 4000,   8.081,  22.497,   6.249,   6.375,  19.979,   5.550, 55,  0,   1.039,   1.227,   0.341,   0.000,   0.219,   0.061,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:25:095, 299512485927902,    1.473,    7.000, 4000,  18.018,  24.466,   6.796,  16.130,  21.742,   6.040, 56,  0,   0.863,   1.321,   0.367,   0.142,   0.234,   0.065,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:25:204, 299512727334300,    1.582,    8.000, 3900,  20.390,  26.696,   7.415,  18.340,  23.748,   6.597, 65,  0,   1.019,   1.433,   0.398,   0.400,   0.278,   0.077,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:25:345, 299513037824144,    1.723,    8.000, 3900,  22.654,  29.881,   8.300,  20.907,  26.688,   7.413, 81,  0,   0.717,   1.534,   0.426,   0.040,   0.284,   0.079,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:25:485, 299513348363050,    1.863,    9.000, 3900,  19.075,  32.564,   9.046,  17.563,  29.158,   8.099, 75,  0,   0.690,   1.631,   0.453,   0.000,   0.284,   0.079,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:25:673, 299513763449018,    2.051,    4.000, 4000,  16.710,  35.705,   9.918,  15.114,  31.999,   8.889, 54,  0,   0.754,   1.772,   0.492,   0.009,   0.286,   0.079,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:25:783, 299514005166390,    2.161,    0.000, 4000,   1.628,  35.884,   9.968,   0.458,  32.049,   8.903, 52,  0,   0.577,   1.835,   0.510,   0.000,   0.286,   0.079,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:25:892, 299514246469616,    2.270,    0.000, 4100,   1.658,  36.065,  10.018,   0.462,  32.099,   8.917, 51,  0,   0.581,   1.899,   0.527,   0.000,   0.286,   0.079,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:26:001, 299514487989568,    2.380,    0.000, 4000,   1.704,  36.251,  10.070,   0.494,  32.154,   8.932, 51,  0,   0.586,   1.963,   0.545,   0.000,   0.286,   0.079,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:26:111, 299514729453943,    2.489,    0.000, 3900,   1.746,  36.442,  10.123,   0.562,  32.215,   8.949, 51,  0,   0.583,   2.027,   0.563,   0.000,   0.286,   0.079,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:26:220, 299514969702588,    2.598,   11.000, 3900,  25.249,  39.189,  10.886,  23.711,  34.795,   9.665, 65,  0,   0.879,   2.122,   0.590,   0.000,   0.286,   0.079,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:26:329, 299515211180506,    2.707,   55.000, 3900,  49.578,  44.612,  12.392,  47.496,  39.989,  11.108, 73,  0,   1.693,   2.308,   0.641,   0.280,   0.316,   0.088,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:26:440, 299515455803100,    2.818,   43.000, 3900,  56.006,  50.816,  14.116,  52.652,  45.823,  12.728, 78,  0,   1.970,   2.526,   0.702,   1.186,   0.448,   0.124,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:26:582, 299515768654062,    2.960,   22.000, 3900,  35.189,  55.802,  15.501,  30.671,  50.168,  13.936, 62,  0,   1.528,   2.742,   0.762,   2.459,   0.796,   0.221,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:26:685, 299515998193254,    3.064,    8.000, 3900,  19.153,  57.793,  16.054,  15.800,  51.811,  14.392, 68,  0,   1.187,   2.866,   0.796,   1.672,   0.970,   0.269,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:26:795, 299516239531753,    3.173,    6.000, 3900,  14.208,  59.346,  16.485,  12.094,  53.133,  14.759, 56,  0,   0.952,   2.970,   0.825,   0.422,   1.016,   0.282,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:26:904, 299516480192440,    3.282,   13.000, 3900,  24.171,  61.981,  17.217,  21.432,  55.469,  15.408, 59,  0,   1.193,   3.100,   0.861,   0.972,   1.122,   0.312,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:27:014, 299516722982804,    3.392,   11.000, 3900,  23.924,  64.611,  17.948,  20.888,  57.766,  16.046, 69,  0,   1.184,   3.230,   0.897,   1.229,   1.257,   0.349,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:27:125, 299516968126015,    3.503,   19.000, 3900,  34.980,  68.495,  19.026,  32.354,  61.358,  17.044, 71,  0,   1.196,   3.363,   0.934,   0.811,   1.347,   0.374,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:27:234, 299517208796480,    3.612,   18.000, 3900,  31.559,  71.935,  19.982,  28.840,  64.501,  17.917, 68,  0,   1.278,   3.502,   0.973,   0.880,   1.443,   0.401,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:27:346, 299517456046693,    3.724,   13.000, 3900,  27.503,  75.015,  20.837,  25.474,  67.354,  18.709, 71,  0,   1.037,   3.618,   1.005,   0.270,   1.473,   0.409,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:27:456, 299517699121872,    3.834,   22.000, 3900,  36.938,  79.081,  21.967,  34.229,  71.122,  19.756, 73,  0,   1.564,   3.791,   1.053,   0.768,   1.558,   0.433,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:27:567, 299517945373422,    3.945,   28.000, 3900,  44.206,  84.011,  23.336,  42.182,  75.826,  21.063, 75,  0,   1.556,   3.964,   1.101,   0.331,   1.595,   0.443,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:27:693, 299518223618600,    4.071,   22.000, 3900,  42.578,  89.377,  24.827,  38.661,  80.698,  22.416, 77,  0,   1.557,   4.160,   1.156,   1.919,   1.837,   0.510,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:27:833, 299518532662168,    4.211,   18.000, 3900,  32.021,  93.859,  26.072,  28.274,  84.656,  23.515, 70,  0,   1.370,   4.352,   1.209,   1.841,   2.094,   0.582,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:27:945, 299518780408524,    4.324,   24.000, 3900,  38.240,  98.149,  27.264,  33.812,  88.450,  24.569, 64,  0,   1.662,   4.539,   1.261,   2.275,   2.350,   0.653,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:28:054, 299519018701195,    4.431,   14.000, 3900,  25.640, 100.917,  28.032,  22.464,  90.874,  25.243, 67,  0,   1.293,   4.678,   1.299,   1.436,   2.505,   0.696,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:28:165, 299519264211769,    4.543,   11.000, 3900,  23.096, 103.485,  28.746,  19.592,  93.052,  25.848, 65,  0,   1.356,   4.829,   1.341,   1.802,   2.705,   0.751,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:28:274, 299519505783563,    4.652,    8.000, 3900,  16.683, 105.310,  29.253,  13.990,  94.583,  26.273, 59,  0,   1.169,   4.957,   1.377,   0.967,   2.811,   0.781,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:28:384, 299519748331578,    4.762,    8.000, 3900,  16.181, 107.087,  29.746,  13.795,  96.098,  26.694, 59,  0,   1.087,   5.076,   1.410,   0.450,   2.860,   0.795,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:28:494, 299519992538493,    4.873,    9.000, 3900,  17.548, 109.028,  30.286,  15.330,  97.794,  27.165, 61,  0,   1.146,   5.203,   1.445,   0.518,   2.918,   0.810,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:28:604, 299520234712344,    4.982,    3.000, 3900,   8.912, 110.006,  30.557,   6.791,  98.539,  27.372, 55,  0,   1.040,   5.317,   1.477,   0.418,   2.963,   0.823,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:28:713, 299520475435087,    5.091,   18.000, 3900,  29.466, 113.218,  31.449,  27.131, 101.497,  28.193, 59,  0,   1.172,   5.445,   1.512,   0.564,   3.025,   0.840,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:28:825, 299520722972102,    5.203,    7.000, 3900,  15.228, 114.925,  31.924,  13.533, 103.014,  28.615, 55,  0,   0.904,   5.546,   1.541,   0.101,   3.036,   0.843,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:28:947, 299520991010455,    5.325,    9.000, 3900,  21.107, 117.488,  32.635,  19.107, 105.333,  29.259, 65,  0,   0.902,   5.656,   1.571,   0.390,   3.084,   0.857,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:29:062, 299521246143244,    5.440,   10.000, 3900,  29.384, 120.883,  33.579,  20.212, 107.669,  29.908, 62,  0,   0.687,   5.735,   1.593,   0.074,   3.092,   0.859,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:02:29:287, 299521742392700,    5.665,    1.000, 3900,  16.798, 124.658,  34.627,  11.173, 110.180,  30.606, 54,  0,   0.657,   5.883,   1.634,   0.090,   3.112,   0.865,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
