System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:29:04:751, 287146891940823,    0.113,   11.000, 3300,  15.848,   1.784,   0.496,  13.658,   1.538,   0.427, 62,  0,   0.913,   0.103,   0.029,   0.379,   0.043,   0.012,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:29:04:860, 287147133395260,    0.222,    9.000, 3400,  14.172,   3.334,   0.926,  12.583,   2.914,   0.809, 65,  0,   0.706,   0.180,   0.050,   0.000,   0.043,   0.012,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:29:04:969, 287147374967422,    0.331,    8.000, 3400,  13.812,   4.845,   1.346,  12.156,   4.244,   1.179, 65,  0,   0.654,   0.252,   0.070,   0.000,   0.043,   0.012,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:29:05:079, 287147616375317,    0.441,   21.000, 3100,  22.395,   7.294,   2.026,  20.215,   6.454,   1.793, 61,  0,   1.243,   0.388,   0.108,   0.477,   0.095,   0.026,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:29:05:188, 287147857811798,    0.550,   24.000, 3000,  19.405,   9.415,   2.615,  17.746,   8.394,   2.332, 61,  0,   1.091,   0.507,   0.141,   0.000,   0.095,   0.026,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:29:05:313, 287148133837874,    0.675,   17.000, 2900,  14.805,  11.266,   3.130,  12.861,  10.002,   2.778, 60,  0,   0.970,   0.628,   0.174,   0.104,   0.108,   0.030,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:29:05:423, 287148375298008,    0.784,    9.000, 3000,  10.634,  12.429,   3.453,   8.945,  10.980,   3.050, 59,  0,   0.780,   0.713,   0.198,   0.000,   0.108,   0.030,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:29:05:532, 287148617671018,    0.894,    5.000, 3200,   8.483,  13.360,   3.711,   6.345,  11.677,   3.244, 54,  0,   0.889,   0.811,   0.225,   0.483,   0.161,   0.045,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:29:05:642, 287148859469832,    1.004,    1.000, 3600,   4.521,  13.855,   3.849,   2.811,  11.984,   3.329, 53,  0,   0.780,   0.896,   0.249,   0.201,   0.183,   0.051,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:29:05:751, 287149101099320,    1.113,    0.000, 4000,   1.760,  14.048,   3.902,   0.503,  12.039,   3.344, 52,  0,   0.612,   0.963,   0.268,   0.000,   0.183,   0.051,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:29:05:861, 287149342592380,    1.222,    0.000, 4000,   3.847,  14.469,   4.019,   2.298,  12.291,   3.414, 52,  0,   0.714,   1.042,   0.289,   0.232,   0.208,   0.058,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
