System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:27:41:711, 286963539000024,    0.111,   11.000, 3300,  14.981,   1.666,   0.463,  12.910,   1.436,   0.399, 62,  0,   0.914,   0.102,   0.028,   0.377,   0.042,   0.012,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:41:820, 286963780553678,    0.221,    9.000, 3300,  13.592,   3.153,   0.876,  11.877,   2.735,   0.760, 66,  0,   0.719,   0.180,   0.050,   0.000,   0.042,   0.012,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:41:929, 286964022035420,    0.330,   12.000, 3300,  15.416,   4.839,   1.344,  13.854,   4.251,   1.181, 63,  0,   0.737,   0.261,   0.072,   0.000,   0.042,   0.012,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:42:039, 286964263541378,    0.439,   17.000, 3200,  19.152,   6.934,   1.926,  17.065,   6.117,   1.699, 60,  0,   1.104,   0.382,   0.106,   0.431,   0.089,   0.025,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:42:148, 286964504959256,    0.549,   22.000, 3000,  19.448,   9.061,   2.517,  17.585,   8.040,   2.233, 59,  0,   1.089,   0.501,   0.139,   0.000,   0.089,   0.025,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:42:273, 286964781036294,    0.674,   19.000, 2900,  16.138,  11.078,   3.077,  14.274,   9.825,   2.729, 59,  0,   1.031,   0.630,   0.175,   0.112,   0.103,   0.029,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:42:383, 286965022613936,    0.783,    8.000, 3100,   9.890,  12.160,   3.378,   8.300,  10.733,   2.981, 57,  0,   0.702,   0.707,   0.196,   0.000,   0.103,   0.029,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:42:492, 286965264976024,    0.893,    7.000, 3200,  10.033,  13.262,   3.684,   7.765,  11.585,   3.218, 55,  0,   0.924,   0.808,   0.224,   0.549,   0.163,   0.045,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:42:602, 286965506420081,    1.002,    3.000, 3500,   6.997,  14.027,   3.896,   4.435,  12.070,   3.353, 53,  0,   0.837,   0.899,   0.250,   0.208,   0.186,   0.052,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:42:711, 286965748266735,    1.112,    0.000, 4000,   1.681,  14.211,   3.947,   0.436,  12.118,   3.366, 52,  0,   0.610,   0.966,   0.268,   0.000,   0.186,   0.052,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:42:820, 286965988516838,    1.221,    1.000, 4000,   5.805,  14.843,   4.123,   4.261,  12.581,   3.495, 68,  0,   0.723,   1.045,   0.290,   0.234,   0.212,   0.059,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:42:930, 286966231046474,    1.330,    1.000, 4000,   5.583,  15.456,   4.293,   4.088,  13.030,   3.620, 53,  0,   0.706,   1.122,   0.312,   0.000,   0.212,   0.059,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:43:039, 286966472464448,    1.440,    4.000, 3900,  12.647,  16.839,   4.677,  11.028,  14.236,   3.954, 53,  0,   0.718,   1.201,   0.334,   0.120,   0.225,   0.062,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:43:149, 286966714160962,    1.549,    0.000, 4000,   3.319,  17.202,   4.778,   1.853,  14.439,   4.011, 52,  0,   0.680,   1.275,   0.354,   0.052,   0.230,   0.064,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:43:258, 286966955679552,    1.659,    0.000, 3900,   3.283,  17.561,   4.878,   1.979,  14.655,   4.071, 51,  0,   0.645,   1.346,   0.374,   0.000,   0.230,   0.064,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:43:370, 286967202267574,    1.770,    1.000, 4000,   6.049,  18.237,   5.066,   4.513,  15.159,   4.211, 53,  0,   0.799,   1.435,   0.399,   0.000,   0.230,   0.064,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:43:494, 286967477746740,    1.895,    1.000, 3900,   7.033,  19.114,   5.309,   5.429,  15.837,   4.399, 54,  0,   0.908,   1.548,   0.430,   0.000,   0.230,   0.064,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:43:604, 286967719178880,    2.004,   11.000, 4000,  23.938,  21.732,   6.037,  22.046,  18.247,   5.069, 59,  0,   0.964,   1.654,   0.459,   0.184,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:43:714, 286967961393196,    2.114,    0.000, 4000,   1.794,  21.928,   6.091,   0.560,  18.309,   5.086, 52,  0,   0.595,   1.719,   0.478,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:43:823, 286968203042973,    2.224,    0.000, 4000,   1.623,  22.106,   6.141,   0.421,  18.355,   5.099, 52,  0,   0.586,   1.783,   0.495,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:43:932, 286968444336059,    2.333,    0.000, 4100,   2.539,  22.383,   6.218,   1.321,  18.499,   5.139, 51,  0,   0.584,   1.847,   0.513,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:44:042, 286968686045946,    2.442,    0.000, 4000,   1.650,  22.564,   6.268,   0.474,  18.551,   5.153, 51,  0,   0.581,   1.911,   0.531,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:44:151, 286968927515644,    2.552,    0.000, 4100,   2.741,  22.864,   6.351,   1.522,  18.718,   5.199, 51,  0,   0.596,   1.976,   0.549,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:44:260, 286969169032070,    2.661,    0.000, 4000,   1.731,  23.053,   6.404,   0.542,  18.777,   5.216, 51,  0,   0.586,   2.040,   0.567,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:44:370, 286969410507374,    2.770,    0.000, 3900,   1.741,  23.244,   6.457,   0.536,  18.836,   5.232, 51,  0,   0.583,   2.104,   0.584,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:44:479, 286969651990150,    2.880,    0.000, 4000,   1.628,  23.422,   6.506,   0.454,  18.885,   5.246, 51,  0,   0.579,   2.167,   0.602,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:44:589, 286969893499036,    2.989,    0.000, 4100,   1.821,  23.621,   6.561,   0.635,  18.955,   5.265, 51,  0,   0.585,   2.231,   0.620,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:44:698, 286970134982794,    3.099,    0.000, 4000,   1.830,  23.821,   6.617,   0.649,  19.026,   5.285, 51,  0,   0.588,   2.295,   0.638,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:44:807, 286970376436092,    3.208,    0.000, 4100,   2.231,  24.065,   6.685,   1.019,  19.137,   5.316, 51,  0,   0.583,   2.359,   0.655,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:44:917, 286970618077996,    3.317,    0.000, 4000,   1.682,  24.249,   6.736,   0.514,  19.193,   5.331, 51,  0,   0.579,   2.423,   0.673,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:45:026, 286970859434716,    3.427,    0.000, 4100,   1.859,  24.452,   6.792,   0.663,  19.266,   5.352, 51,  0,   0.585,   2.487,   0.691,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:45:135, 286971101039198,    3.536,    0.000, 4000,   1.547,  24.622,   6.839,   0.364,  19.306,   5.363, 51,  0,   0.577,   2.550,   0.708,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:45:245, 286971342471445,    3.645,    0.000, 3900,   1.569,  24.793,   6.887,   0.385,  19.348,   5.374, 51,  0,   0.580,   2.613,   0.726,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:45:354, 286971584001893,    3.755,    0.000, 4000,   1.527,  24.960,   6.933,   0.335,  19.384,   5.385, 50,  0,   0.579,   2.676,   0.743,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:45:464, 286971825466842,    3.864,    0.000, 4100,   1.469,  25.121,   6.978,   0.292,  19.416,   5.393, 51,  0,   0.577,   2.740,   0.761,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:45:573, 286972066955444,    3.974,    0.000, 4000,   1.503,  25.285,   7.024,   0.321,  19.451,   5.403, 50,  0,   0.576,   2.803,   0.779,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:45:682, 286972308532184,    4.083,    0.000, 4100,   1.756,  25.478,   7.077,   0.579,  19.515,   5.421, 51,  0,   0.582,   2.866,   0.796,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:45:792, 286972550041562,    4.192,    0.000, 4100,   1.610,  25.654,   7.126,   0.424,  19.561,   5.434, 50,  0,   0.577,   2.929,   0.814,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:45:901, 286972791421502,    4.302,    0.000, 4100,   1.755,  25.846,   7.179,   0.568,  19.623,   5.451, 50,  0,   0.580,   2.993,   0.831,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:46:010, 286973033022046,    4.411,    0.000, 3900,   1.605,  26.021,   7.228,   0.425,  19.670,   5.464, 51,  0,   0.580,   3.056,   0.849,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:46:120, 286973274478502,    4.520,    0.000, 4000,   1.746,  26.212,   7.281,   0.563,  19.731,   5.481, 51,  0,   0.584,   3.120,   0.867,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:46:229, 286973515961834,    4.630,    0.000, 4000,   1.634,  26.391,   7.331,   0.449,  19.780,   5.495, 51,  0,   0.579,   3.184,   0.884,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:46:339, 286973757488214,    4.739,    0.000, 4100,   1.630,  26.569,   7.380,   0.421,  19.826,   5.507, 50,  0,   0.589,   3.248,   0.902,   0.000,   0.251,   0.070,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:46:448, 286973999034618,    4.849,    0.000, 4000,   2.014,  26.789,   7.441,   0.662,  19.899,   5.527, 51,  0,   0.584,   3.312,   0.920,   0.159,   0.268,   0.074,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:46:557, 286974240531700,    4.958,    0.000, 4100,   1.918,  26.999,   7.500,   0.710,  19.976,   5.549, 50,  0,   0.592,   3.377,   0.938,   0.000,   0.268,   0.074,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:46:666, 286974480909671,    5.067,    4.000, 3900,   9.681,  28.053,   7.793,   8.354,  20.886,   5.802, 69,  0,   0.665,   3.449,   0.958,   0.000,   0.268,   0.074,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:46:776, 286974722276003,    5.176,   14.000, 3900,  29.371,  31.264,   8.684,  27.726,  23.917,   6.644, 70,  0,   0.972,   3.555,   0.988,   0.000,   0.268,   0.074,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:46:885, 286974963871048,    5.286,   10.000, 3900,  25.367,  34.039,   9.455,  23.723,  26.512,   7.365, 73,  0,   0.895,   3.653,   1.015,   0.000,   0.268,   0.074,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:27:47:010, 286975239907996,    5.411,   16.000, 3900,  29.456,  37.722,  10.478,  27.797,  29.987,   8.330, 72,  0,   1.025,   3.781,   1.050,   0.000,   0.268,   0.074,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
