System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
02:10:21:334, 300564025516704,    0.110,   10.000, 4000,  24.140,   2.650,   0.736,  22.187,   2.436,   0.677, 69,  0,   0.835,   0.092,   0.025,   0.270,   0.030,   0.008,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:10:21:436, 300564250039918,    0.211,    8.000, 4000,  22.846,   4.974,   1.382,  20.210,   4.491,   1.248, 69,  0,   0.707,   0.164,   0.045,   0.000,   0.030,   0.008,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:10:21:546, 300564493680106,    0.322,   19.000, 3900,  28.510,   8.120,   2.255,  23.662,   7.102,   1.973, 67,  0,   0.781,   0.250,   0.069,   0.165,   0.048,   0.013,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:10:22:062, 300565632306784,    0.838,   17.000, 3900,  39.589,  28.535,   7.926,  30.164,  22.657,   6.294, 72,  0,   0.927,   0.728,   0.202,   0.107,   0.103,   0.029,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:10:22:219, 300565978448624,    0.994,    3.000, 3900,  20.056,  31.679,   8.800,  15.122,  25.028,   6.952, 55,  0,   0.810,   0.855,   0.237,   0.352,   0.158,   0.044,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:10:22:328, 300566220006622,    1.104,    0.000, 4000,   3.566,  32.069,   8.908,   2.224,  25.271,   7.020, 51,  0,   0.694,   0.931,   0.259,   0.000,   0.158,   0.044,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:10:22:437, 300566461496190,    1.213,    0.000, 3900,   1.512,  32.235,   8.954,   0.337,  25.308,   7.030, 50,  0,   0.580,   0.994,   0.276,   0.000,   0.158,   0.044,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:10:22:538, 300566684544470,    1.314,    0.000, 4100,   1.520,  32.388,   8.997,   0.351,  25.343,   7.040, 49,  0,   0.576,   1.052,   0.292,   0.000,   0.158,   0.044,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:10:22:648, 300566926123782,    1.423,    0.000, 4000,   1.406,  32.542,   9.039,   0.242,  25.370,   7.047, 49,  0,   0.577,   1.115,   0.310,   0.000,   0.158,   0.044,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:10:22:757, 300567167697482,    1.533,    0.000, 3900,   2.055,  32.767,   9.102,   0.873,  25.465,   7.074, 48,  0,   0.596,   1.181,   0.328,   0.000,   0.158,   0.044,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
