System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:16:19:078, 293405102917854,    0.113,   10.000, 3900,  24.153,   2.730,   0.758,  21.890,   2.474,   0.687, 68,  0,   0.879,   0.099,   0.028,   0.327,   0.037,   0.010,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:16:19:187, 293405344431400,    0.222,    8.000, 3900,  20.926,   5.019,   1.394,  19.351,   4.591,   1.275, 69,  0,   0.690,   0.175,   0.049,   0.000,   0.037,   0.010,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:16:19:296, 293405585827454,    0.332,   10.000, 3900,  24.317,   7.677,   2.133,  22.783,   7.081,   1.967, 67,  0,   0.760,   0.258,   0.072,   0.000,   0.037,   0.010,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:16:19:406, 293405827390922,    0.441,   16.000, 3900,  31.101,  11.080,   3.078,  29.074,  10.262,   2.851, 68,  0,   1.022,   0.370,   0.103,   0.191,   0.058,   0.016,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:16:19:515, 293406068999699,    0.551,   15.000, 3900,  29.587,  14.317,   3.977,  27.735,  13.297,   3.694, 71,  0,   0.983,   0.477,   0.133,   0.131,   0.072,   0.020,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:16:19:640, 293406344862305,    0.675,   11.000, 3900,  24.777,  17.413,   4.837,  22.637,  16.125,   4.479, 64,  0,   0.985,   0.600,   0.167,   0.412,   0.124,   0.034,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:16:19:749, 293406586512017,    0.785,    9.000, 3900,  20.672,  19.675,   5.465,  18.764,  18.179,   5.050, 68,  0,   0.911,   0.700,   0.194,   0.223,   0.148,   0.041,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:16:19:874, 293406862708299,    0.910,    9.000, 4000,  21.548,  22.370,   6.214,  19.388,  20.604,   5.723, 57,  0,   0.918,   0.815,   0.226,   0.357,   0.193,   0.054,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:16:19:984, 293407104024787,    1.019,    2.000, 3900,   7.402,  23.179,   6.439,   5.827,  21.241,   5.900, 53,  0,   0.781,   0.900,   0.250,   0.081,   0.202,   0.056,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:16:20:093, 293407345441936,    1.129,    1.000, 4000,   6.656,  23.907,   6.641,   4.938,  21.781,   6.050, 53,  0,   0.823,   0.990,   0.275,   0.208,   0.224,   0.062,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
