System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:00:44:125, 283391899104560,    0.116,    9.000, 3300,  14.203,   1.641,   0.456,  12.271,   1.418,   0.394, 62,  0,   0.861,   0.099,   0.028,   0.309,   0.036,   0.010,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:00:44:234, 283392140788356,    0.225,    9.000, 3300,  13.631,   3.133,   0.870,  11.968,   2.728,   0.758, 64,  0,   0.714,   0.178,   0.049,   0.000,   0.036,   0.010,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:00:44:343, 283392382099824,    0.334,    8.000, 3400,  13.329,   4.590,   1.275,  11.792,   4.017,   1.116, 65,  0,   0.648,   0.248,   0.069,   0.000,   0.036,   0.010,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:00:44:453, 283392623570673,    0.444,   19.000, 3200,  21.497,   6.941,   1.928,  19.294,   6.127,   1.702, 64,  0,   1.192,   0.379,   0.105,   0.554,   0.096,   0.027,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:00:44:562, 283392865114261,    0.553,   23.000, 3000,  20.730,   9.209,   2.558,  18.836,   8.187,   2.274, 60,  0,   1.090,   0.498,   0.138,   0.000,   0.096,   0.027,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:00:44:672, 283393106628034,    0.662,   15.000, 3000,  14.785,  10.826,   3.007,  12.924,   9.601,   2.667, 59,  0,   0.965,   0.604,   0.168,   0.156,   0.113,   0.031,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:00:44:781, 283393348132083,    0.772,    8.000, 3100,  10.433,  11.967,   3.324,   8.822,  10.566,   2.935, 58,  0,   0.721,   0.682,   0.190,   0.000,   0.113,   0.031,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:00:44:890, 283393589818882,    0.881,    7.000, 3300,  11.043,  13.176,   3.660,   8.787,  11.528,   3.202, 58,  0,   0.890,   0.780,   0.217,   0.505,   0.169,   0.047,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:00:45:000, 283393832275730,    0.991,    3.000, 3400,   7.277,  13.975,   3.882,   5.172,  12.096,   3.360, 55,  0,   0.903,   0.879,   0.244,   0.515,   0.225,   0.063,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:00:45:110, 283394073838058,    1.101,    1.000, 3700,   4.941,  14.516,   4.032,   3.173,  12.443,   3.456, 53,  0,   0.780,   0.964,   0.268,   0.312,   0.259,   0.072,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:00:45:219, 283394315396327,    1.210,    1.000, 3900,   4.250,  14.980,   4.161,   2.909,  12.761,   3.545, 52,  0,   0.663,   1.037,   0.288,   0.000,   0.259,   0.072,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:00:45:331, 283394563236582,    1.322,    0.000, 4100,   1.567,  15.156,   4.210,   0.378,  12.804,   3.557, 52,  0,   0.578,   1.102,   0.306,   0.000,   0.259,   0.072,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:00:45:440, 283394804195162,    1.431,    6.000, 4000,  16.400,  16.946,   4.707,  13.924,  14.323,   3.979, 56,  0,   0.771,   1.186,   0.329,   0.232,   0.285,   0.079,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
