System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:41:52:915, 288843002839090,    0.110,   11.000, 3200,  14.438,   1.584,   0.440,  12.293,   1.349,   0.375, 62,  0,   0.918,   0.101,   0.028,   0.392,   0.043,   0.012,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:41:53:024, 288843244394162,    0.219,    9.000, 3300,  13.139,   3.021,   0.839,  11.552,   2.612,   0.726, 64,  0,   0.717,   0.179,   0.050,   0.000,   0.043,   0.012,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:41:53:134, 288843485914570,    0.328,    8.000, 3300,  12.728,   4.414,   1.226,  11.194,   3.837,   1.066, 63,  0,   0.646,   0.250,   0.069,   0.000,   0.043,   0.012,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:41:53:243, 288843727269105,    0.438,   17.000, 3200,  20.194,   6.621,   1.839,  17.917,   5.795,   1.610, 64,  0,   1.109,   0.371,   0.103,   0.462,   0.094,   0.026,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:41:53:352, 288843968797411,    0.547,   23.000, 3100,  20.041,   8.813,   2.448,  18.411,   7.809,   2.169, 62,  0,   1.090,   0.490,   0.136,   0.000,   0.094,   0.026,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:41:53:477, 288844244895408,    0.672,   19.000, 2900,  16.492,  10.875,   3.021,  14.535,   9.627,   2.674, 61,  0,   1.017,   0.617,   0.172,   0.130,   0.110,   0.030,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:41:53:587, 288844486462672,    0.782,    9.000, 3100,  11.019,  12.081,   3.356,   9.401,  10.655,   2.960, 60,  0,   0.744,   0.699,   0.194,   0.000,   0.110,   0.030,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:41:53:696, 288844727886092,    0.891,    9.000, 3100,  14.497,  13.666,   3.796,   9.277,  11.670,   3.242, 58,  0,   0.857,   0.793,   0.220,   0.559,   0.171,   0.047,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:41:53:852, 288845072932606,    1.047,   12.000, 2900,  19.280,  16.679,   4.633,  10.365,  13.289,   3.691, 60,  0,   0.741,   0.908,   0.252,   0.188,   0.200,   0.056,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:41:54:025, 288845453409006,    1.220,    2.000, 3100,   9.566,  18.327,   5.091,   4.999,  14.151,   3.931, 53,  0,   0.669,   1.024,   0.284,   0.058,   0.210,   0.058,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
