System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
23:44:50:542, 281286383712917,    0.114,   17.000, 2900,  15.271,   1.736,   0.482,  13.218,   1.503,   0.417, 59,  0,   0.868,   0.099,   0.027,   0.310,   0.035,   0.010,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
23:44:50:667, 281286659689360,    0.239,   16.000, 2900,  13.739,   3.453,   0.959,  12.108,   3.016,   0.838, 59,  0,   0.703,   0.187,   0.052,   0.000,   0.035,   0.010,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
23:44:50:792, 281286935680806,    0.364,   17.000, 2900,  14.310,   5.242,   1.456,  12.707,   4.604,   1.279, 61,  0,   0.672,   0.271,   0.075,   0.013,   0.037,   0.010,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
23:44:50:917, 281287211685384,    0.489,   27.000, 2900,  19.059,   7.625,   2.118,  16.854,   6.711,   1.864, 60,  0,   1.081,   0.406,   0.113,   0.471,   0.096,   0.027,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
23:44:51:027, 281287453132097,    0.598,   29.000, 2700,  18.617,   9.660,   2.683,  16.951,   8.565,   2.379, 59,  0,   1.048,   0.520,   0.145,   0.000,   0.096,   0.027,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
23:44:51:152, 281287729232073,    0.723,   29.000, 2600,  17.615,  11.863,   3.295,  15.700,  10.528,   2.924, 59,  0,   1.034,   0.650,   0.180,   0.138,   0.113,   0.031,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
23:44:51:277, 281288005076890,    0.848,   18.000, 2700,  12.624,  13.440,   3.733,  10.957,  11.897,   3.305, 58,  0,   0.731,   0.741,   0.206,   0.000,   0.113,   0.031,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
23:44:51:402, 281288281134552,    0.973,   17.000, 2700,  13.791,  15.164,   4.212,  11.392,  13.321,   3.700, 56,  0,   1.053,   0.872,   0.242,   0.604,   0.189,   0.052,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
23:44:51:527, 281288557174430,    1.098,   10.000, 2900,   9.873,  16.399,   4.555,   7.975,  14.318,   3.977, 59,  0,   0.708,   0.961,   0.267,   0.245,   0.219,   0.061,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
23:44:51:636, 281288798748998,    1.207,    9.000, 3100,  10.019,  17.495,   4.860,   8.442,  15.242,   4.234, 58,  0,   0.610,   1.028,   0.285,   0.000,   0.219,   0.061,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
