System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:02:03:562, 291516118939145,    0.110,    8.000, 3900,  22.306,   2.451,   0.681,  20.265,   2.227,   0.619, 67,  0,   0.862,   0.095,   0.026,   0.326,   0.036,   0.010,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:03:671, 291516360390638,    0.219,    8.000, 4000,  20.800,   4.726,   1.313,  19.240,   4.331,   1.203, 69,  0,   0.696,   0.171,   0.047,   0.000,   0.036,   0.010,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:03:781, 291516601930313,    0.329,    9.000, 3900,  24.794,   7.438,   2.066,  23.102,   6.858,   1.905, 65,  0,   0.783,   0.256,   0.071,   0.131,   0.050,   0.014,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:03:890, 291516843335386,    0.438,   16.000, 3900,  32.171,  10.955,   3.043,  30.210,  10.161,   2.823, 68,  0,   0.995,   0.365,   0.101,   0.093,   0.060,   0.017,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:03:999, 291517084889303,    0.547,   13.000, 3900,  28.545,  14.078,   3.911,  26.792,  13.092,   3.637, 66,  0,   0.969,   0.471,   0.131,   0.112,   0.073,   0.020,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:04:124, 291517360871183,    0.672,   11.000, 3900,  23.685,  17.039,   4.733,  21.599,  15.792,   4.387, 64,  0,   0.988,   0.595,   0.165,   0.343,   0.115,   0.032,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:04:234, 291517602481347,    0.782,    9.000, 3900,  21.792,  19.423,   5.395,  19.639,  17.941,   4.984, 68,  0,   0.963,   0.700,   0.194,   0.448,   0.164,   0.046,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:04:359, 291517878367956,    0.907,    8.000, 3900,  20.870,  22.031,   6.120,  18.829,  20.293,   5.637, 60,  0,   0.903,   0.813,   0.226,   0.329,   0.206,   0.057,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:04:484, 291518155389107,    1.032,    3.000, 3900,   9.179,  23.183,   6.440,   7.221,  21.199,   5.889, 55,  0,   0.841,   0.918,   0.255,   0.316,   0.245,   0.068,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:04:593, 291518395997368,    1.141,    1.000, 3900,   5.720,  23.806,   6.613,   4.167,  21.653,   6.015, 53,  0,   0.774,   1.003,   0.279,   0.040,   0.250,   0.069,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:04:702, 291518637434766,    1.251,    1.000, 4000,   6.658,  24.534,   6.815,   5.059,  22.207,   6.168, 53,  0,   0.834,   1.094,   0.304,   0.000,   0.250,   0.069,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:04:812, 291518878937061,    1.360,    1.000, 4000,   7.316,  25.334,   7.037,   5.770,  22.838,   6.344, 52,  0,   0.638,   1.164,   0.323,   0.000,   0.250,   0.069,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:04:921, 291519120613362,    1.469,    6.000, 4000,  16.870,  27.181,   7.550,  15.197,  24.501,   6.806, 56,  0,   0.721,   1.243,   0.345,   0.088,   0.259,   0.072,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:05:031, 291519361813730,    1.579,    1.000, 3900,   8.355,  28.093,   7.804,   6.644,  25.227,   7.007, 53,  0,   0.678,   1.317,   0.366,   0.089,   0.269,   0.075,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:05:140, 291519603423226,    1.688,    1.000, 3900,   8.272,  28.999,   8.055,   6.663,  25.956,   7.210, 53,  0,   0.649,   1.388,   0.386,   0.000,   0.269,   0.075,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:05:249, 291519844960317,    1.797,    1.000, 3900,   8.487,  29.927,   8.313,   7.049,  26.727,   7.424, 54,  0,   0.576,   1.451,   0.403,   0.000,   0.269,   0.075,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:05:359, 291520086399526,    1.907,    1.000, 3900,   8.830,  30.893,   8.581,   7.143,  27.508,   7.641, 53,  0,   0.785,   1.537,   0.427,   0.000,   0.269,   0.075,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:05:468, 291520328164236,    2.016,    1.000, 4000,   8.842,  31.861,   8.850,   7.357,  28.314,   7.865, 53,  0,   0.574,   1.600,   0.444,   0.000,   0.269,   0.075,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:05:578, 291520569972352,    2.126,    1.000, 4000,   8.460,  32.787,   9.108,   6.833,  29.062,   8.073, 53,  0,   0.730,   1.680,   0.467,   0.000,   0.269,   0.075,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:02:05:687, 291520811380564,    2.235,    1.000, 4000,   7.779,  33.638,   9.344,   6.305,  29.751,   8.264, 53,  0,   0.571,   1.742,   0.484,   0.000,   0.269,   0.075,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
