System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
02:08:28:958, 300315897361124,    0.106,    9.000, 3600,  18.186,   1.923,   0.534,  15.913,   1.683,   0.467, 67,  0,   0.879,   0.093,   0.026,   0.513,   0.054,   0.015,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:08:29:067, 300316138914023,    0.215,    8.000, 3500,  15.849,   3.657,   1.016,  14.104,   3.226,   0.896, 66,  0,   0.707,   0.170,   0.047,   0.000,   0.054,   0.015,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:08:29:176, 300316380364940,    0.324,    8.000, 3500,  15.024,   5.300,   1.472,  13.490,   4.701,   1.306, 65,  0,   0.681,   0.245,   0.068,   0.000,   0.054,   0.015,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:08:29:286, 300316621834966,    0.434,   20.000, 3200,  22.340,   7.743,   2.151,  20.188,   6.909,   1.919, 62,  0,   1.143,   0.370,   0.103,   0.383,   0.096,   0.027,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:08:29:395, 300316863364360,    0.543,   17.000, 3100,  18.538,   9.771,   2.714,  16.651,   8.730,   2.425, 64,  0,   0.970,   0.476,   0.132,   0.113,   0.109,   0.030,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:08:29:520, 300317139430348,    0.668,    9.000, 3200,  11.584,  11.219,   3.116,   9.911,   9.969,   2.769, 61,  0,   0.757,   0.571,   0.159,   0.000,   0.109,   0.030,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:08:29:630, 300317380902108,    0.778,    5.000, 3300,   8.734,  12.174,   3.382,   6.776,  10.710,   2.975, 59,  0,   0.864,   0.665,   0.185,   0.352,   0.147,   0.041,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:08:29:739, 300317622399462,    0.887,    4.000, 3500,   9.192,  13.180,   3.661,   7.516,  11.532,   3.203, 55,  0,   0.784,   0.751,   0.209,   0.241,   0.173,   0.048,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:08:29:849, 300317865029588,    0.997,    1.000, 3900,   5.744,  13.811,   3.836,   3.914,  11.962,   3.323, 54,  0,   0.785,   0.837,   0.233,   0.236,   0.199,   0.055,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
02:08:29:958, 300318106658182,    1.106,    1.000, 4100,   5.599,  14.423,   4.007,   4.200,  12.422,   3.451, 52,  0,   0.680,   0.912,   0.253,   0.000,   0.199,   0.055,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
