System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:07:27:550, 284282663745762,    0.104,    9.000, 3900,  22.401,   2.338,   0.649,  20.345,   2.124,   0.590, 64,  0,   0.895,   0.093,   0.026,   0.433,   0.045,   0.013,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:07:27:659, 284282905372781,    0.214,    8.000, 4000,  21.184,   4.656,   1.293,  19.647,   4.274,   1.187, 67,  0,   0.736,   0.174,   0.048,   0.000,   0.045,   0.013,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:07:27:768, 284283146785598,    0.323,   15.000, 3900,  31.125,   8.059,   2.239,  29.305,   7.478,   2.077, 66,  0,   0.975,   0.280,   0.078,   0.000,   0.045,   0.013,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:07:27:878, 284283388149995,    0.432,   20.000, 3900,  37.288,  12.135,   3.371,  35.130,  11.318,   3.144, 67,  0,   1.365,   0.430,   0.119,   0.454,   0.095,   0.026,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:07:28:003, 284283664256724,    0.558,   20.000, 3900,  34.677,  16.472,   4.576,  32.747,  15.413,   4.281, 66,  0,   1.088,   0.566,   0.157,   0.134,   0.112,   0.031,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:07:28:112, 284283905828383,    0.667,   10.000, 3900,  21.638,  18.839,   5.233,  20.076,  17.609,   4.891, 61,  0,   0.838,   0.657,   0.183,   0.000,   0.112,   0.031,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:07:28:221, 284284147263180,    0.776,    2.000, 3900,   9.899,  19.922,   5.534,   7.836,  18.466,   5.129, 56,  0,   0.867,   0.752,   0.209,   0.441,   0.160,   0.044,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:07:28:331, 284284388661450,    0.886,    1.000, 4000,   7.207,  20.710,   5.753,   5.385,  19.055,   5.293, 53,  0,   0.827,   0.843,   0.234,   0.227,   0.185,   0.051,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:07:28:441, 284284631033586,    0.995,    2.000, 4000,  12.038,  22.031,   6.120,  10.362,  20.192,   5.609, 53,  0,   0.701,   0.920,   0.255,   0.000,   0.185,   0.051,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:07:28:550, 284284871908591,    1.104,    2.000, 4000,   7.515,  22.851,   6.347,   5.986,  20.845,   5.790, 52,  0,   0.729,   0.999,   0.278,   0.000,   0.185,   0.051,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:07:28:659, 284285113140940,    1.214,    1.000, 4000,   7.077,  23.624,   6.562,   5.614,  21.459,   5.961, 52,  0,   0.573,   1.062,   0.295,   0.000,   0.185,   0.051,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
00:07:28:768, 284285354759120,    1.323,    6.000, 3900,  17.404,  25.528,   7.091,  16.008,  23.210,   6.447, 57,  0,   0.795,   1.149,   0.319,   0.000,   0.185,   0.051,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
