System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
01:24:22:314, 294472092082326,    0.113,   10.000, 3500,  17.730,   2.012,   0.559,  15.701,   1.782,   0.495, 63,  0,   0.858,   0.097,   0.027,   0.404,   0.046,   0.013,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:22:423, 294472333596428,    0.223,    8.000, 3500,  15.391,   3.695,   1.026,  13.680,   3.278,   0.911, 64,  0,   0.707,   0.175,   0.049,   0.000,   0.046,   0.013,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:22:533, 294472575073854,    0.332,    8.000, 3500,  14.948,   5.330,   1.481,  13.401,   4.744,   1.318, 64,  0,   0.679,   0.249,   0.069,   0.000,   0.046,   0.013,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:22:642, 294472816802747,    0.442,   17.000, 3300,  20.797,   7.607,   2.113,  18.947,   6.818,   1.894, 61,  0,   1.060,   0.365,   0.101,   0.440,   0.094,   0.026,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:22:752, 294473058030843,    0.551,   18.000, 3100,  20.009,   9.793,   2.720,  17.743,   8.756,   2.432, 61,  0,   0.993,   0.473,   0.131,   0.154,   0.111,   0.031,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:22:877, 294473334159846,    0.676,    9.000, 3200,  11.938,  11.286,   3.135,  10.275,  10.041,   2.789, 61,  0,   0.747,   0.567,   0.157,   0.000,   0.111,   0.031,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:22:986, 294473575666658,    0.785,    6.000, 3400,   9.239,  12.296,   3.416,   7.205,  10.829,   3.008, 55,  0,   0.852,   0.660,   0.183,   0.435,   0.158,   0.044,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:23:111, 294473852675240,    0.911,    3.000, 3600,   8.801,  13.401,   3.722,   6.809,  11.684,   3.245, 55,  0,   0.861,   0.768,   0.213,   0.357,   0.203,   0.056,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:23:221, 294474094240226,    1.020,    3.000, 3800,   6.345,  14.095,   3.915,   4.782,  12.207,   3.391, 53,  0,   0.728,   0.848,   0.235,   0.093,   0.213,   0.059,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:23:346, 294474370343624,    1.145,    1.000, 3900,   5.343,  14.763,   4.101,   3.655,  12.664,   3.518, 56,  0,   0.752,   0.942,   0.262,   0.214,   0.240,   0.067,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:23:455, 294474611851768,    1.255,    1.000, 4100,   5.196,  15.331,   4.259,   3.810,  13.080,   3.633, 53,  0,   0.686,   1.017,   0.282,   0.000,   0.240,   0.067,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:23:580, 294474887485556,    1.379,    5.000, 3900,  13.077,  16.964,   4.712,  11.386,  14.502,   4.028, 56,  0,   0.799,   1.116,   0.310,   0.203,   0.265,   0.074,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:23:690, 294475129575860,    1.489,    2.000, 4000,   9.732,  18.031,   5.009,   7.868,  15.364,   4.268, 55,  0,   0.834,   1.208,   0.336,   0.130,   0.280,   0.078,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:23:799, 294475370403036,    1.598,    3.000, 4000,  10.346,  19.159,   5.322,   8.769,  16.321,   4.534, 65,  0,   0.819,   1.297,   0.360,   0.000,   0.280,   0.078,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:23:909, 294475612902730,    1.708,    5.000, 4000,  13.957,  20.692,   5.748,  12.043,  17.643,   4.901, 54,  0,   0.866,   1.392,   0.387,   0.246,   0.307,   0.085,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:24:018, 294475854500287,    1.817,    0.000, 3900,   2.161,  20.928,   5.813,   0.911,  17.743,   4.929, 52,  0,   0.617,   1.460,   0.406,   0.000,   0.307,   0.085,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:24:127, 294476095991250,    1.927,    0.000, 4000,   1.554,  21.098,   5.861,   0.376,  17.784,   4.940, 51,  0,   0.578,   1.523,   0.423,   0.000,   0.307,   0.085,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:24:237, 294476337420524,    2.036,    0.000, 4100,   1.661,  21.280,   5.911,   0.450,  17.833,   4.954, 52,  0,   0.581,   1.587,   0.441,   0.000,   0.307,   0.085,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:24:346, 294476578937698,    2.146,    0.000, 4100,   1.610,  21.456,   5.960,   0.422,  17.880,   4.967, 51,  0,   0.579,   1.650,   0.458,   0.000,   0.307,   0.085,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:24:456, 294476820425296,    2.255,    0.000, 4100,   2.435,  21.722,   6.034,   1.228,  18.014,   5.004, 51,  0,   0.582,   1.714,   0.476,   0.000,   0.307,   0.085,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:24:565, 294477062051756,    2.364,    0.000, 3900,   1.804,  21.920,   6.089,   0.619,  18.082,   5.023, 51,  0,   0.582,   1.777,   0.494,   0.000,   0.307,   0.085,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:24:674, 294477303479222,    2.474,    0.000, 4000,   1.764,  22.113,   6.142,   0.583,  18.146,   5.040, 51,  0,   0.583,   1.841,   0.511,   0.000,   0.307,   0.085,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:24:784, 294477544995546,    2.583,    0.000, 4000,   1.776,  22.307,   6.196,   0.588,  18.210,   5.058, 52,  0,   0.584,   1.905,   0.529,   0.000,   0.307,   0.085,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:24:893, 294477786493314,    2.692,    2.000, 3900,   7.642,  23.143,   6.429,   6.348,  18.904,   5.251, 51,  0,   0.654,   1.976,   0.549,   0.000,   0.307,   0.085,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:25:002, 294478028034591,    2.802,    0.000, 3900,   1.630,  23.321,   6.478,   0.443,  18.953,   5.265, 51,  0,   0.580,   2.040,   0.567,   0.000,   0.307,   0.085,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:25:107, 294478258189960,    2.906,    0.000, 3900,   1.610,  23.489,   6.525,   0.423,  18.997,   5.277, 51,  0,   0.580,   2.100,   0.583,   0.000,   0.307,   0.085,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:25:216, 294478499590790,    3.015,    0.000, 3900,   1.741,  23.679,   6.578,   0.536,  19.055,   5.293, 51,  0,   0.582,   2.164,   0.601,   0.000,   0.307,   0.085,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:25:325, 294478741170048,    3.125,    0.000, 3900,   2.318,  23.933,   6.648,   1.124,  19.178,   5.327, 51,  0,   0.589,   2.228,   0.619,   0.000,   0.307,   0.085,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:25:435, 294478982590578,    3.234,    0.000, 4000,   2.000,  24.151,   6.709,   0.776,  19.263,   5.351, 51,  0,   0.586,   2.292,   0.637,   0.030,   0.310,   0.086,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:25:544, 294479224108838,    3.344,    0.000, 4100,   1.709,  24.338,   6.761,   0.527,  19.321,   5.367, 51,  0,   0.581,   2.356,   0.654,   0.000,   0.310,   0.086,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:25:653, 294479465583000,    3.453,    0.000, 4000,   1.487,  24.501,   6.806,   0.310,  19.355,   5.376, 51,  0,   0.576,   2.419,   0.672,   0.000,   0.310,   0.086,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
01:24:25:763, 294479707086362,    3.562,    0.000, 4000,   1.579,  24.674,   6.854,   0.392,  19.398,   5.388, 51,  0,   0.578,   2.482,   0.690,   0.000,   0.310,   0.086,  45.000,  60.000, 130.000,   0.000,   0.000,99999999,   0.000
