System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
10:18:15:814, 122575709943502,    0.107,   11.000, 3900,  26.820,   2.881,   0.800,  23.715,   2.548,   0.708, 72,  0,   0.849,   0.091,   0.025,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:15:926, 122575957311906,    0.219,    9.000, 3900,  22.886,   5.445,   1.513,  21.182,   4.921,   1.367, 69,  0,   0.776,   0.178,   0.049,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:16:036, 122576200202755,    0.329,   10.000, 3900,  23.636,   8.045,   2.235,  21.920,   7.332,   2.037, 67,  0,   0.805,   0.267,   0.074,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:16:145, 122576440846620,    0.438,   21.000, 3900,  35.979,  11.967,   3.324,  34.122,  11.051,   3.070, 75,  0,   1.269,   0.405,   0.113,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:16:256, 122576685970584,    0.549,   30.000, 3900,  46.973,  17.181,   4.773,  45.000,  16.047,   4.457, 77,  0,   1.247,   0.543,   0.151,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:16:367, 122576930481408,    0.660,   14.000, 3900,  28.302,  20.315,   5.643,  26.262,  18.955,   5.265, 73,  0,   0.983,   0.652,   0.181,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:16:493, 122577209548888,    0.787,    7.000, 3800,  25.105,  23.489,   6.525,  17.516,  21.169,   5.880, 60,  0,   0.853,   0.760,   0.211,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:16:601, 122577447933057,    0.895,    5.000, 3700,  18.132,  25.446,   7.068,  11.069,  22.364,   6.212, 68,  0,   0.687,   0.834,   0.232,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:16:710, 122577688563508,    1.004,    1.000, 3700,  13.851,  26.956,   7.488,   6.931,  23.119,   6.422, 61,  0,   0.607,   0.900,   0.250,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:16:817, 122577924490226,    1.110,    1.000, 3800,  11.913,  28.229,   7.841,   5.154,  23.670,   6.575, 60,  0,   0.576,   0.962,   0.267,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:16:924, 122578160440982,    1.217,    1.000, 3800,  12.580,  29.573,   8.215,   5.634,  24.272,   6.742, 61,  0,   0.599,   1.026,   0.285,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:17:033, 122578400484782,    1.326,    0.000, 3900,  12.159,  30.895,   8.582,   5.254,  24.843,   6.901, 60,  0,   0.587,   1.090,   0.303,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:17:140, 122578638324824,    1.434,    2.000, 3900,  13.456,  32.344,   8.984,   7.720,  25.674,   7.132, 58,  0,   0.615,   1.156,   0.321,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:17:249, 122578879092156,    1.543,    1.000, 3900,   9.799,  33.413,   9.281,   5.699,  26.296,   7.304, 57,  0,   0.635,   1.225,   0.340,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:17:358, 122579120221892,    1.652,    2.000, 3900,  11.637,  34.683,   9.634,   7.526,  27.118,   7.533, 57,  0,   0.592,   1.290,   0.358,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:17:467, 122579360487418,    1.761,    0.000, 3900,   9.498,  35.717,   9.921,   5.457,  27.712,   7.698, 57,  0,   0.588,   1.354,   0.376,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:17:576, 122579600565952,    1.869,    0.000, 3900,   9.841,  36.787,  10.219,   5.740,  28.336,   7.871, 57,  0,   0.591,   1.418,   0.394,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:17:685, 122579840171346,    1.978,    1.000, 4000,  10.687,  37.947,  10.541,   6.556,  29.047,   8.069, 57,  0,   0.598,   1.483,   0.412,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:17:792, 122580077951688,    2.086,    6.000, 3900,  19.000,  39.993,  11.109,  14.733,  30.634,   8.509, 64,  0,   0.790,   1.568,   0.436,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:17:900, 122580316948105,    2.194,    1.000, 3900,   7.006,  40.751,  11.320,   4.580,  31.130,   8.647, 56,  0,   0.714,   1.646,   0.457,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:18:010, 122580559600594,    2.304,    0.000, 4000,   4.622,  41.259,  11.461,   3.086,  31.469,   8.741, 56,  0,   0.688,   1.721,   0.478,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:18:119, 122580800442374,    2.413,    1.000, 3900,   5.969,  41.910,  11.642,   4.366,  31.945,   8.874, 56,  0,   0.747,   1.803,   0.501,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:18:231, 122581047119412,    2.525,    7.000, 3900,  18.163,  43.939,  12.205,  16.477,  33.786,   9.385, 59,  0,   0.854,   1.898,   0.527,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:18:342, 122581290695304,    2.635,   13.000, 3900,  23.751,  46.560,  12.933,  21.516,  36.159,  10.044, 72,  0,   0.976,   2.006,   0.557,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:18:453, 122581536388622,    2.746,   37.000, 3900,  34.223,  50.368,  13.991,  31.864,  39.705,  11.029, 72,  0,   1.132,   2.132,   0.592,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:18:609, 122581881079239,    2.902,   63.000, 2900,  51.037,  58.335,  16.204,  47.835,  47.172,  13.103, 71,  0,   2.158,   2.469,   0.686,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:18:831, 122582371085492,    3.124,   43.000, 2400,  22.283,  63.280,  17.578,  19.014,  51.392,  14.276, 60,  0,   1.370,   2.773,   0.770,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:18:942, 122582616448822,    3.235,   17.000, 2500,  11.187,  64.523,  17.923,   9.345,  52.431,  14.564, 58,  0,   0.991,   2.883,   0.801,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:19:049, 122582852656324,    3.342,   15.000, 2600,   9.818,  65.573,  18.215,   8.071,  53.294,  14.804, 57,  0,   0.994,   2.989,   0.830,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:19:156, 122583089659922,    3.450,   10.000, 2800,   8.325,  66.467,  18.463,   6.616,  54.004,  15.001, 56,  0,   0.968,   3.093,   0.859,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:19:265, 122583330403020,    3.559,   17.000, 2900,  13.873,  67.980,  18.883,  12.047,  55.318,  15.366, 59,  0,   1.112,   3.214,   0.893,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:19:375, 122583573098688,    3.669,   23.000, 2800,  18.162,  69.976,  19.438,  16.331,  57.113,  15.865, 63,  0,   1.136,   3.339,   0.928,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:19:500, 122583849071357,    3.794,   14.000, 2800,  12.361,  71.521,  19.867,  10.557,  58.432,  16.231, 59,  0,   0.943,   3.457,   0.960,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:19:623, 122584120641976,    3.917,   17.000, 2900,  13.669,  73.202,  20.334,  11.884,  59.894,  16.637, 60,  0,   1.044,   3.585,   0.996,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:19:745, 122584390113479,    4.039,   25.000, 2800,  18.110,  75.412,  20.948,  16.292,  61.882,  17.190, 61,  0,   1.213,   3.734,   1.037,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:19:869, 122584663744718,    4.163,   32.000, 2600,  18.587,  77.716,  21.588,  16.602,  63.940,  17.761, 60,  0,   1.399,   3.907,   1.085,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:19:977, 122584902218503,    4.271,   31.000, 2500,  18.001,  79.660,  22.128,  16.172,  65.686,  18.246, 60,  0,   1.248,   4.042,   1.123,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:20:086, 122585143025832,    4.380,   19.000, 2500,  12.946,  81.072,  22.520,  10.991,  66.885,  18.579, 59,  0,   1.089,   4.160,   1.156,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:20:211, 122585418901964,    4.505,   20.000, 2600,  14.048,  82.827,  23.008,  12.178,  68.406,  19.002, 59,  0,   1.118,   4.300,   1.194,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:20:367, 122585762056604,    4.660,   30.000, 2500,  14.948,  85.150,  23.653,  12.949,  70.419,  19.561, 58,  0,   1.167,   4.481,   1.245,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:20:479, 122586009357968,    4.772,   19.000, 2600,  12.651,  86.567,  24.046,  10.769,  71.625,  19.896, 58,  0,   1.132,   4.608,   1.280,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:20:590, 122586255208104,    4.883,   11.000, 2800,   8.597,  87.524,  24.312,   6.800,  72.382,  20.106, 57,  0,   1.011,   4.721,   1.311,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:20:699, 122586495764388,    4.992,   10.000, 3000,   7.780,  88.372,  24.548,   5.977,  73.033,  20.287, 56,  0,   1.061,   4.836,   1.343,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:20:808, 122586736109102,    5.101,   10.000, 3100,   9.669,  89.425,  24.840,   7.879,  73.891,  20.525, 57,  0,   1.036,   4.949,   1.375,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:20:917, 122586977138905,    5.210,   11.000, 3200,  11.545,  90.685,  25.190,   9.786,  74.959,  20.822, 58,  0,   0.997,   5.058,   1.405,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:21:026, 122587217177300,    5.319,    7.000, 3400,   9.197,  91.685,  25.468,   7.482,  75.773,  21.048, 61,  0,   1.029,   5.170,   1.436,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:21:135, 122587457703266,    5.428,   29.000, 3100,  25.357,  94.447,  26.235,  23.539,  78.337,  21.760, 63,  0,   1.349,   5.317,   1.477,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:21:246, 122587703084924,    5.539,   20.000, 3000,  17.940,  96.441,  26.789,  16.017,  80.117,  22.255, 59,  0,   1.061,   5.435,   1.510,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:21:354, 122587941758093,    5.647,    8.000, 3100,   9.343,  97.451,  27.070,   7.705,  80.950,  22.486, 58,  0,   0.843,   5.526,   1.535,  45.000,  60.000, 130.000,   0.000,   0.000
10:18:21:461, 122588178062681,    5.754,   11.000, 3200,  13.561,  98.902,  27.473,  11.967,  82.231,  22.842, 59,  0,   0.676,   5.598,   1.555,  45.000,  60.000, 130.000,   0.000,   0.000
