System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
10:33:40:796, 124618074792162,    0.108,   19.000, 3200,  21.500,   2.320,   0.644,  19.829,   2.140,   0.594, 66,  0,   0.835,   0.090,   0.025,  45.000,  60.000, 130.000,   0.000,   0.000
10:33:40:908, 124618322094741,    0.220,   16.000, 3300,  20.007,   4.561,   1.267,  18.096,   4.167,   1.157, 70,  0,   0.777,   0.177,   0.049,  45.000,  60.000, 130.000,   0.000,   0.000
10:33:41:036, 124618604658856,    0.348,   16.000, 3200,  18.243,   6.895,   1.915,  16.696,   6.303,   1.751, 66,  0,   0.711,   0.268,   0.074,  45.000,  60.000, 130.000,   0.000,   0.000
10:33:41:162, 124618882883961,    0.474,   30.000, 2900,  21.208,   9.568,   2.658,  19.341,   8.740,   2.428, 63,  0,   1.121,   0.409,   0.114,  45.000,  60.000, 130.000,   0.000,   0.000
10:33:41:271, 124619124815715,    0.583,   28.000, 2700,  18.742,  11.621,   3.228,  16.819,  10.583,   2.940, 63,  0,   1.014,   0.521,   0.145,  45.000,  60.000, 130.000,   0.000,   0.000
10:33:41:383, 124619372216936,    0.696,   32.000, 2600,  18.017,  13.640,   3.789,  16.083,  12.385,   3.440, 62,  0,   1.062,   0.639,   0.178,  45.000,  60.000, 130.000,   0.000,   0.000
10:33:41:495, 124619619531788,    0.808,   18.000, 2600,  12.489,  15.039,   4.177,  10.833,  13.599,   3.777, 61,  0,   0.814,   0.731,   0.203,  45.000,  60.000, 130.000,   0.000,   0.000
10:33:41:639, 124619937476102,    0.952,   16.000, 2800,  12.101,  16.781,   4.661,  10.262,  15.076,   4.188, 61,  0,   0.756,   0.839,   0.233,  45.000,  60.000, 130.000,   0.000,   0.000
10:33:41:750, 124620182602554,    1.063,   11.000, 2900,  11.008,  18.003,   5.001,   9.286,  16.107,   4.474, 61,  0,   0.669,   0.914,   0.254,  45.000,  60.000, 130.000,   0.000,   0.000
10:33:41:861, 124620427645442,    1.174,    9.000, 3100,  10.567,  19.176,   5.327,   8.912,  17.096,   4.749, 63,  0,   0.602,   0.980,   0.272,  45.000,  60.000, 130.000,   0.000,   0.000
10:33:41:988, 124620708110604,    1.301,    9.000, 3300,  11.429,  20.628,   5.730,   9.683,  18.326,   5.091, 63,  0,   0.674,   1.066,   0.296,  45.000,  60.000, 130.000,   0.000,   0.000
10:33:42:099, 124620953214814,    1.412,    9.000, 3400,  12.139,  21.975,   6.104,  10.504,  19.492,   5.414, 65,  0,   0.608,   1.134,   0.315,  45.000,  60.000, 130.000,   0.000,   0.000
10:33:42:227, 124621235831284,    1.540,    9.000, 3500,  12.720,  23.604,   6.557,  10.649,  20.855,   5.793, 65,  0,   0.594,   1.210,   0.336,  45.000,  60.000, 130.000,   0.000,   0.000
