System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
10:32:07:871, 124412897150155,    0.117,   20.000, 2800,  21.570,   2.521,   0.700,  14.336,   1.676,   0.465, 61,  0,   0.858,   0.100,   0.028,  45.000,  60.000, 130.000,   0.000,   0.000
10:32:07:981, 124413140014392,    0.227,   18.000, 2700,  14.405,   4.106,   1.140,  11.570,   2.948,   0.819, 60,  0,   0.735,   0.181,   0.050,  45.000,  60.000, 130.000,   0.000,   0.000
10:32:08:092, 124413385196706,    0.338,   17.000, 2800,  13.642,   5.620,   1.561,  11.973,   4.278,   1.188, 60,  0,   0.741,   0.263,   0.073,  45.000,  60.000, 130.000,   0.000,   0.000
10:32:08:219, 124413665483600,    0.465,   23.000, 2800,  15.934,   7.643,   2.123,  14.254,   6.087,   1.691, 59,  0,   0.836,   0.370,   0.103,  45.000,  60.000, 130.000,   0.000,   0.000
10:32:08:331, 124413912866521,    0.577,   30.000, 2600,  18.665,   9.734,   2.704,  16.679,   7.956,   2.210, 60,  0,   1.178,   0.502,   0.139,  45.000,  60.000, 130.000,   0.000,   0.000
10:32:08:455, 124414186531822,    0.701,   31.000, 2600,  16.145,  11.735,   3.260,  14.430,   9.744,   2.707, 59,  0,   1.000,   0.625,   0.174,  45.000,  60.000, 130.000,   0.000,   0.000
10:32:08:583, 124414469322146,    0.829,   29.000, 2700,  18.905,  14.157,   3.932,  17.014,  11.924,   3.312, 60,  0,   1.076,   0.763,   0.212,  45.000,  60.000, 130.000,   0.000,   0.000
10:32:08:711, 124414751902888,    0.957,   18.000, 2700,  13.329,  15.863,   4.406,  11.659,  13.416,   3.727, 59,  0,   0.744,   0.858,   0.238,  45.000,  60.000, 130.000,   0.000,   0.000
10:32:08:839, 124415034571664,    1.085,   14.000, 2800,  12.260,  17.432,   4.842,  10.407,  14.748,   4.097, 60,  0,   0.796,   0.960,   0.267,  45.000,  60.000, 130.000,   0.000,   0.000
10:32:08:967, 124415317142024,    1.213,   10.000, 3000,  10.523,  18.779,   5.216,   8.842,  15.879,   4.411, 61,  0,   0.643,   1.043,   0.290,  45.000,  60.000, 130.000,   0.000,   0.000
10:32:09:093, 124415595345590,    1.339,    8.000, 3100,  10.363,  20.084,   5.579,   8.772,  16.985,   4.718, 62,  0,   0.580,   1.116,   0.310,  45.000,  60.000, 130.000,   0.000,   0.000
10:32:09:216, 124415866995554,    1.462,   11.000, 3500,  13.180,  21.706,   6.029,  11.384,  18.385,   5.107, 62,  0,   0.690,   1.201,   0.333,  45.000,  60.000, 130.000,   0.000,   0.000
10:32:09:326, 124416108977002,    1.572,    9.000, 3500,  14.717,  23.319,   6.477,  13.203,  19.832,   5.509, 66,  0,   0.606,   1.267,   0.352,  45.000,  60.000, 130.000,   0.000,   0.000
10:32:09:454, 124416391632388,    1.700,   10.000, 3500,  15.408,  25.291,   7.025,  13.828,  21.602,   6.001, 67,  0,   0.592,   1.343,   0.373,  45.000,  60.000, 130.000,   0.000,   0.000
10:32:09:580, 124416669805374,    1.826,    9.000, 3500,  15.020,  27.184,   7.551,  13.418,  23.293,   6.470, 67,  0,   0.611,   1.420,   0.394,  45.000,  60.000, 130.000,   0.000,   0.000
10:32:09:703, 124416941613365,    1.949,    9.000, 3500,  14.803,  29.006,   8.057,  13.083,  24.903,   6.918, 67,  0,   0.598,   1.494,   0.415,  45.000,  60.000, 130.000,   0.000,   0.000
10:32:09:830, 124417222098535,    2.076,   11.000, 3500,  15.772,  31.009,   8.614,  14.171,  26.703,   7.418, 66,  0,   0.634,   1.574,   0.437,  45.000,  60.000, 130.000,   0.000,   0.000
