System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
10:16:47:749, 122381260957800,    0.107,   10.000, 3900,  25.868,   2.756,   0.766,  22.561,   2.404,   0.668, 68,  0,   0.856,   0.091,   0.025,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:47:860, 122381506848432,    0.218,    8.000, 3900,  22.117,   5.219,   1.450,  20.494,   4.686,   1.302, 65,  0,   0.761,   0.176,   0.049,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:47:972, 122381754130120,    0.330,    9.000, 3900,  23.721,   7.876,   2.188,  22.037,   7.154,   1.987, 65,  0,   0.743,   0.259,   0.072,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:48:082, 122381996948184,    0.440,   21.000, 3900,  36.037,  11.839,   3.289,  34.141,  10.909,   3.030, 71,  0,   1.261,   0.398,   0.111,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:48:194, 122382244174150,    0.552,   30.000, 3900,  46.131,  17.004,   4.723,  44.218,  15.860,   4.405, 76,  0,   1.263,   0.539,   0.150,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:48:302, 122382482758868,    0.660,   20.000, 3900,  30.871,  20.340,   5.650,  28.786,  18.970,   5.269, 70,  0,   0.979,   0.645,   0.179,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:48:412, 122382725708766,    0.770,   10.000, 3900,  22.943,  22.864,   6.351,  20.787,  21.257,   5.905, 72,  0,   0.922,   0.747,   0.207,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:48:521, 122382965806616,    0.879,    4.000, 3900,   9.791,  23.929,   6.647,   7.981,  22.125,   6.146, 64,  0,   0.817,   0.836,   0.232,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:48:631, 122383210454348,    0.989,    3.000, 3900,  12.211,  25.282,   7.023,  10.440,  23.282,   6.467, 58,  0,   0.874,   0.932,   0.259,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:48:740, 122383451087370,    1.098,    2.000, 3900,   7.658,  26.116,   7.255,   5.945,  23.930,   6.647, 57,  0,   0.878,   1.028,   0.286,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:48:849, 122383689751712,    1.207,    2.000, 3900,   6.750,  26.846,   7.457,   5.067,  24.477,   6.799, 56,  0,   0.883,   1.123,   0.312,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:48:957, 122383928799059,    1.315,    1.000, 4000,   6.610,  27.562,   7.656,   4.871,  25.005,   6.946, 56,  0,   0.896,   1.220,   0.339,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:49:065, 122384168639544,    1.423,    3.000, 3900,  10.083,  28.657,   7.960,   8.311,  25.908,   7.197, 56,  0,   0.860,   1.314,   0.365,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:49:174, 122384408068421,    1.532,    1.000, 4000,   6.726,  29.386,   8.163,   5.037,  26.454,   7.348, 56,  0,   0.839,   1.405,   0.390,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:49:281, 122384645579044,    1.639,    1.000, 4000,   6.593,  30.095,   8.360,   4.862,  26.977,   7.494, 56,  0,   0.890,   1.500,   0.417,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:49:390, 122384885256370,    1.748,    1.000, 4000,   6.808,  30.834,   8.565,   5.067,  27.527,   7.646, 56,  0,   0.903,   1.599,   0.444,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:49:499, 122385125364558,    1.857,    1.000, 3900,   6.925,  31.588,   8.774,   5.179,  28.090,   7.803, 56,  0,   0.881,   1.694,   0.471,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:49:607, 122385365176782,    1.965,    2.000, 4000,   7.264,  32.376,   8.993,   5.525,  28.690,   7.969, 56,  0,   0.867,   1.788,   0.497,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:49:716, 122385605835520,    2.074,    7.000, 3900,  16.050,  34.126,   9.479,  14.238,  30.242,   8.401, 57,  0,   0.943,   1.891,   0.525,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:49:827, 122385850511359,    2.185,    0.000, 3900,   4.765,  34.654,   9.626,   3.164,  30.592,   8.498, 55,  0,   0.745,   1.974,   0.548,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:49:937, 122386093853586,    2.295,    3.000, 3900,   9.086,  35.655,   9.904,   7.383,  31.406,   8.724, 55,  0,   0.811,   2.063,   0.573,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:50:047, 122386335236390,    2.405,    1.000, 3900,   7.411,  36.465,  10.129,   5.022,  31.955,   8.876, 56,  0,   0.704,   2.140,   0.594,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:50:156, 122386575565153,    2.514,    3.000, 3700,  17.248,  38.343,  10.651,  10.355,  33.082,   9.190, 58,  0,   0.681,   2.214,   0.615,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:50:264, 122386815404458,    2.622,   15.000, 3700,  31.786,  41.795,  11.610,  25.018,  35.800,   9.944, 67,  0,   0.956,   2.318,   0.644,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:50:374, 122387057803960,    2.732,   40.000, 3100,  45.788,  46.822,  13.006,  38.293,  40.004,  11.112, 71,  0,   1.450,   2.477,   0.688,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:50:500, 122387336045393,    2.858,   76.000, 3700,  59.272,  54.291,  15.081,  52.106,  46.570,  12.936, 74,  0,   2.090,   2.741,   0.761,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:50:640, 122387645092329,    2.998,   35.000, 3700,  51.720,  61.530,  17.092,  43.019,  52.591,  14.609, 73,  0,   1.623,   2.968,   0.824,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:50:749, 122387885875522,    3.107,   22.000, 3900,  41.146,  66.017,  18.338,  33.834,  56.281,  15.634, 75,  0,   1.319,   3.112,   0.864,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:50:858, 122388127394266,    3.216,    9.000, 3900,  23.648,  68.604,  19.057,  19.047,  58.364,  16.212, 61,  0,   0.860,   3.206,   0.890,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:50:966, 122388365209413,    3.324,   10.000, 3900,  21.872,  70.960,  19.711,  17.537,  60.253,  16.737, 60,  0,   0.908,   3.303,   0.918,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:51:075, 122388605037627,    3.433,    7.000, 3900,  19.730,  73.103,  20.306,  15.404,  61.926,  17.202, 62,  0,   0.820,   3.393,   0.942,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:51:183, 122388844336068,    3.541,   17.000, 3900,  36.459,  77.054,  21.404,  31.976,  65.391,  18.164, 73,  0,   1.125,   3.514,   0.976,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:51:307, 122389117964996,    3.665,   11.000, 3900,  23.222,  79.932,  22.203,  20.971,  67.990,  18.886, 63,  0,   1.000,   3.638,   1.011,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:51:417, 122389360419330,    3.775,   12.000, 3900,  23.283,  82.488,  22.913,  21.567,  70.358,  19.544, 68,  0,   1.036,   3.752,   1.042,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:51:525, 122389599934500,    3.883,   12.000, 3900,  26.151,  85.325,  23.701,  24.421,  73.008,  20.280, 73,  0,   0.960,   3.856,   1.071,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:51:647, 122389869271010,    4.005,   24.000, 3900,  38.952,  90.077,  25.021,  37.205,  77.546,  21.541, 67,  0,   1.300,   4.015,   1.115,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:51:756, 122390109149320,    4.114,   24.000, 3600,  38.342,  94.242,  26.178,  36.282,  81.487,  22.635, 78,  0,   1.358,   4.162,   1.156,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:51:878, 122390378369336,    4.236,   27.000, 3100,  28.661,  97.737,  27.149,  26.555,  84.725,  23.535, 70,  0,   1.375,   4.330,   1.203,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:51:985, 122390614612578,    4.343,   14.000, 3100,  15.843,  99.432,  27.620,  14.127,  86.237,  23.955, 66,  0,   0.952,   4.432,   1.231,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:52:092, 122390850843755,    4.450,   25.000, 2900,  19.942, 101.565,  28.213,  17.889,  88.151,  24.486, 63,  0,   1.215,   4.562,   1.267,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:52:230, 122391155660884,    4.588,   37.000, 2600,  21.410, 104.521,  29.034,  19.329,  90.819,  25.228, 63,  0,   1.295,   4.741,   1.317,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:52:340, 122391398597712,    4.698,   22.000, 2600,  13.937, 106.054,  29.460,  11.934,  92.132,  25.592, 60,  0,   1.238,   4.877,   1.355,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:52:462, 122391669121848,    4.820,   11.000, 2800,   9.059, 107.164,  29.768,   7.235,  93.019,  25.839, 57,  0,   0.981,   4.997,   1.388,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:52:572, 122391910049696,    4.929,    7.000, 3000,   6.978, 107.926,  29.979,   5.193,  93.585,  25.996, 57,  0,   1.039,   5.110,   1.420,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:52:681, 122392151122094,    5.039,   12.000, 3100,  11.187, 109.147,  30.319,   9.388,  94.610,  26.281, 56,  0,   1.025,   5.222,   1.451,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:52:789, 122392390394782,    5.147,   11.000, 3300,  10.237, 110.256,  30.627,   8.475,  95.529,  26.536, 58,  0,   1.047,   5.336,   1.482,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:52:898, 122392632063034,    5.256,   10.000, 3400,  11.094, 111.471,  30.964,   9.366,  96.554,  26.821, 64,  0,   1.015,   5.447,   1.513,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:53:026, 122392914598410,    5.384,   20.000, 3200,  20.860, 114.140,  31.706,  19.129,  99.002,  27.500, 62,  0,   0.937,   5.567,   1.546,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:53:135, 122393153799120,    5.493,    6.000, 3300,   9.878, 115.210,  32.003,   8.249,  99.895,  27.749, 60,  0,   0.814,   5.655,   1.571,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:53:244, 122393395498092,    5.602,   12.000, 3300,  16.046, 116.966,  32.491,  14.379, 101.469,  28.186, 58,  0,   0.708,   5.732,   1.592,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:53:354, 122393637396321,    5.712,    1.000, 3600,   4.104, 117.416,  32.616,   2.533, 101.747,  28.263, 56,  0,   0.778,   5.818,   1.616,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:53:464, 122393880669081,    5.822,    0.000, 3900,   3.882, 117.844,  32.734,   2.316, 102.002,  28.334, 55,  0,   0.784,   5.904,   1.640,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:53:573, 122394122100083,    5.931,    1.000, 4000,   5.595, 118.456,  32.904,   3.888, 102.427,  28.452, 55,  0,   0.813,   5.993,   1.665,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:53:683, 122394363698658,    6.041,    2.000, 4000,   6.271, 119.142,  33.095,   4.678, 102.939,  28.594, 55,  0,   0.727,   6.073,   1.687,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:53:792, 122394604852076,    6.150,    1.000, 4000,   5.227, 119.713,  33.253,   3.645, 103.337,  28.705, 55,  0,   0.764,   6.156,   1.710,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:53:901, 122394845032366,    6.259,    0.000, 3900,   3.864, 120.133,  33.370,   2.284, 103.585,  28.774, 55,  0,   0.765,   6.239,   1.733,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:54:011, 122395088640837,    6.369,    0.000, 4000,   4.668, 120.648,  33.513,   3.051, 103.922,  28.867, 56,  0,   0.812,   6.329,   1.758,  45.000,  60.000, 130.000,   0.000,   0.000
10:16:54:121, 122395330546234,    6.479,    1.000, 3900,   6.843, 121.398,  33.722,   5.321, 104.505,  29.029, 62,  0,   0.767,   6.413,   1.781,  45.000,  60.000, 130.000,   0.000,   0.000
