System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
10:41:03:926, 125596509703216,    0.115,   14.000, 3500,  22.048,   2.527,   0.702,  20.424,   2.341,   0.650, 68,  0,   0.873,   0.100,   0.028,  45.000,  60.000, 130.000,   0.000,   0.000
10:41:04:036, 125596752581090,    0.225,    9.000, 3400,  16.078,   4.295,   1.193,  14.373,   3.922,   1.089, 68,  0,   0.756,   0.183,   0.051,  45.000,  60.000, 130.000,   0.000,   0.000
10:41:04:147, 125596997674050,    0.336,    8.000, 3400,  14.364,   5.890,   1.636,  12.694,   5.331,   1.481, 68,  0,   0.696,   0.260,   0.072,  45.000,  60.000, 130.000,   0.000,   0.000
10:41:04:272, 125597273531286,    0.461,   34.000, 2900,  27.359,   9.308,   2.585,  25.522,   8.519,   2.366, 65,  0,   1.326,   0.426,   0.118,  45.000,  60.000, 130.000,   0.000,   0.000
10:41:04:382, 125597516428856,    0.571,   28.000, 3000,  20.129,  11.522,   3.201,  18.250,  10.527,   2.924, 64,  0,   1.145,   0.552,   0.153,  45.000,  60.000, 130.000,   0.000,   0.000
10:41:04:510, 125597799224438,    0.699,   22.000, 2800,  17.196,  13.724,   3.812,  15.336,  12.491,   3.470, 61,  0,   1.102,   0.693,   0.193,  45.000,  60.000, 130.000,   0.000,   0.000
10:41:04:622, 125598046116123,    0.810,    9.000, 3000,  10.081,  14.852,   4.125,   8.418,  13.432,   3.731, 62,  0,   0.704,   0.772,   0.214,  45.000,  60.000, 130.000,   0.000,   0.000
10:41:04:732, 125598289782110,    0.921,    6.000, 3200,   8.753,  15.818,   4.394,   7.029,  14.208,   3.947, 58,  0,   0.790,   0.859,   0.239,  45.000,  60.000, 130.000,   0.000,   0.000
10:41:04:842, 125598533049080,    1.031,    3.000, 3500,   7.364,  16.629,   4.619,   5.735,  14.840,   4.122, 57,  0,   0.792,   0.946,   0.263,  45.000,  60.000, 130.000,   0.000,   0.000
10:41:04:952, 125598775873750,    1.141,    2.000, 3900,   6.663,  17.362,   4.823,   4.968,  15.386,   4.274, 57,  0,   0.855,   1.040,   0.289,  45.000,  60.000, 130.000,   0.000,   0.000
