System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
10:35:14:180, 124824268145000,    0.108,   19.000, 2500,  14.048,   1.522,   0.423,  11.135,   1.207,   0.335, 60,  0,   0.878,   0.095,   0.026,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:14:308, 124824550042299,    0.236,   18.000, 2600,  11.856,   3.036,   0.843,  10.174,   2.505,   0.696, 61,  0,   0.704,   0.185,   0.051,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:14:418, 124824792906124,    0.346,   19.000, 2700,  13.978,   4.573,   1.270,  12.223,   3.850,   1.069, 60,  0,   0.817,   0.275,   0.076,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:14:530, 124825040280220,    0.458,   18.000, 2700,  13.894,   6.130,   1.703,  12.221,   5.219,   1.450, 61,  0,   0.730,   0.357,   0.099,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:14:658, 124825322828808,    0.586,   31.000, 2700,  17.794,   8.407,   2.335,  15.895,   7.253,   2.015, 61,  0,   1.139,   0.502,   0.140,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:14:770, 124825570118797,    0.698,   27.000, 2600,  15.869,  10.184,   2.829,  14.115,   8.834,   2.454, 60,  0,   0.959,   0.610,   0.169,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:14:894, 124825843931746,    0.822,   32.000, 2500,  16.915,  12.282,   3.412,  15.003,  10.695,   2.971, 60,  0,   1.060,   0.741,   0.206,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:15:006, 124826091284144,    0.934,   17.000, 2600,  12.142,  13.642,   3.789,  10.462,  11.867,   3.296, 62,  0,   0.732,   0.823,   0.229,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:15:134, 124826373824053,    1.062,   14.000, 2700,  12.003,  15.178,   4.216,  10.154,  13.166,   3.657, 57,  0,   0.767,   0.921,   0.256,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:15:262, 124826656454070,    1.190,   11.000, 2900,  10.088,  16.469,   4.575,   8.411,  14.243,   3.956, 58,  0,   0.698,   1.011,   0.281,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:15:390, 124826939163685,    1.318,   10.000, 3000,  11.153,  17.897,   4.971,   9.456,  15.453,   4.293, 61,  0,   0.609,   1.089,   0.302,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:15:518, 124827221757096,    1.446,   10.000, 3100,  11.454,  19.363,   5.379,   9.757,  16.702,   4.639, 61,  0,   0.652,   1.172,   0.326,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:15:628, 124827465017084,    1.556,   10.000, 3200,  11.854,  20.669,   5.741,   9.733,  17.774,   4.937, 63,  0,   0.604,   1.239,   0.344,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:15:736, 124827703882866,    1.664,   10.000, 3300,  12.602,  22.032,   6.120,  10.957,  18.960,   5.267, 64,  0,   0.609,   1.305,   0.362,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:15:848, 124827951196738,    1.776,    8.000, 3400,  11.756,  23.349,   6.486,  10.122,  20.093,   5.581, 64,  0,   0.589,   1.370,   0.381,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:15:974, 124828229491456,    1.902,    9.000, 3500,  14.722,  25.205,   7.001,  13.134,  21.749,   6.041, 68,  0,   0.614,   1.448,   0.402,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:16:100, 124828507706678,    2.028,   11.000, 3400,  16.360,  27.266,   7.574,  14.698,  23.601,   6.556, 68,  0,   0.597,   1.523,   0.423,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:16:212, 124828754938412,    2.140,   17.000, 3300,  20.593,  29.572,   8.214,  18.936,  25.721,   7.145, 67,  0,   0.810,   1.614,   0.448,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:16:322, 124828997795925,    2.250,   13.000, 3200,  15.926,  31.324,   8.701,  14.148,  27.277,   7.577, 61,  0,   0.722,   1.693,   0.470,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:16:450, 124829280473084,    2.378,    8.000, 3400,  11.099,  32.745,   9.096,   9.474,  28.490,   7.914, 65,  0,   0.582,   1.768,   0.491,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:16:562, 124829527704248,    2.490,    8.000, 3500,  12.047,  34.093,   9.470,  10.426,  29.657,   8.238, 66,  0,   0.580,   1.833,   0.509,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:16:688, 124829805929890,    2.616,    8.000, 3500,  12.808,  35.707,   9.919,  11.164,  31.064,   8.629, 66,  0,   0.582,   1.906,   0.529,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:16:814, 124830084134650,    2.742,    8.000, 3600,  13.787,  37.445,  10.401,  12.168,  32.597,   9.055, 68,  0,   0.590,   1.980,   0.550,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:16:941, 124830364506088,    2.869,    9.000, 3600,  16.824,  39.581,  10.995,  13.689,  34.336,   9.538, 69,  0,   0.590,   2.055,   0.571,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:17:066, 124830640538126,    2.994,   14.000, 3300,  23.400,  42.506,  11.807,  16.508,  36.399,  10.111, 66,  0,   0.707,   2.144,   0.595,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:17:192, 124830918902041,    3.120,    9.000, 3300,  13.213,  44.172,  12.270,  11.497,  37.849,  10.514, 64,  0,   0.620,   2.222,   0.617,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:17:320, 124831201393159,    3.248,    9.000, 3400,  12.521,  45.774,  12.715,  10.909,  39.244,  10.901, 62,  0,   0.600,   2.299,   0.638,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:17:446, 124831479709612,    3.374,    9.000, 3500,  13.791,  47.512,  13.198,  12.147,  40.776,  11.327, 66,  0,   0.615,   2.376,   0.660,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:17:558, 124831726866094,    3.486,    9.000, 3500,  12.610,  48.924,  13.590,  10.978,  42.004,  11.668, 66,  0,   0.579,   2.441,   0.678,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:17:686, 124832009528462,    3.614,    9.000, 3900,  16.903,  51.088,  14.191,  15.252,  43.957,  12.210, 70,  0,   0.600,   2.518,   0.699,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:17:814, 124832292255967,    3.742,    8.000, 3800,  16.606,  53.214,  14.782,  14.974,  45.874,  12.743, 71,  0,   0.583,   2.592,   0.720,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:17:953, 124832599142800,    3.881,    8.000, 3800,  16.287,  55.478,  15.410,  14.687,  47.916,  13.310, 73,  0,   0.581,   2.673,   0.743,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:18:080, 124832879416480,    4.008,    8.000, 3700,  17.853,  57.744,  16.040,  16.180,  49.969,  13.880, 72,  0,   0.592,   2.748,   0.763,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:18:190, 124833122390026,    4.118,    9.000, 3600,  16.359,  59.544,  16.540,  14.679,  51.585,  14.329, 68,  0,   0.621,   2.817,   0.782,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:18:318, 124833404959086,    4.246,    9.000, 3600,  14.733,  61.429,  17.064,  13.101,  53.261,  14.795, 67,  0,   0.601,   2.894,   0.804,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:18:446, 124833687658966,    4.374,    9.000, 3900,  16.849,  63.587,  17.663,  15.188,  55.206,  15.335, 72,  0,   0.600,   2.970,   0.825,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:18:572, 124833965805926,    4.500,    8.000, 3900,  16.850,  65.709,  18.253,  15.226,  57.124,  15.868, 72,  0,   0.583,   3.044,   0.846,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:18:684, 124834213099338,    4.612,    8.000, 3800,  16.717,  67.582,  18.773,  15.034,  58.808,  16.335, 70,  0,   0.590,   3.110,   0.864,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:18:796, 124834460385034,    4.724,    9.000, 3700,  16.476,  69.427,  19.285,  14.822,  60.468,  16.797, 69,  0,   0.639,   3.182,   0.884,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:18:906, 124834703405836,    4.834,    8.000, 3700,  14.891,  71.066,  19.741,  13.282,  61.930,  17.203, 69,  0,   0.586,   3.246,   0.902,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:19:034, 124834985994873,    4.962,    8.000, 3700,  14.572,  72.931,  20.259,  12.951,  63.587,  17.663, 69,  0,   0.578,   3.320,   0.922,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:19:162, 124835268638771,    5.090,   10.000, 3700,  16.005,  74.980,  20.828,  14.380,  65.428,  18.174, 67,  0,   0.593,   3.396,   0.943,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:19:286, 124835542674242,    5.215,    8.000, 3700,  15.214,  76.868,  21.352,  13.602,  67.116,  18.643, 67,  0,   0.591,   3.469,   0.964,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:19:414, 124835825335264,    5.343,   20.000, 3300,  24.325,  79.982,  22.217,  22.649,  70.015,  19.449, 67,  0,   0.837,   3.577,   0.993,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:19:524, 124836068266180,    5.453,   23.000, 3100,  22.412,  82.448,  22.902,  20.556,  72.277,  20.077, 67,  0,   0.989,   3.685,   1.024,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:19:636, 124836315422007,    5.565,   20.000, 2900,  18.036,  84.466,  23.463,  16.313,  74.103,  20.584, 63,  0,   0.839,   3.779,   1.050,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:19:747, 124836560602962,    5.676,   25.000, 2400,  16.843,  86.337,  23.982,  13.760,  75.631,  21.009, 60,  0,   1.008,   3.891,   1.081,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:19:856, 124836801259812,    5.785,   21.000, 2400,  12.246,  87.671,  24.353,  10.406,  76.765,  21.324, 59,  0,   0.913,   3.991,   1.109,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:19:967, 124837046384691,    5.896,   35.000, 2400,  17.643,  89.630,  24.897,  15.142,  78.446,  21.791, 61,  0,   1.181,   4.122,   1.145,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:20:092, 124837322355150,    6.021,   35.000, 2300,  16.520,  91.695,  25.471,  13.671,  80.155,  22.265, 61,  0,   1.147,   4.265,   1.185,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:20:204, 124837569675184,    6.133,   29.000, 2300,  14.147,  93.280,  25.911,  12.386,  81.542,  22.651, 59,  0,   0.921,   4.368,   1.213,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:20:316, 124837817031134,    6.245,   10.000, 2500,   7.697,  94.142,  26.151,   6.047,  82.220,  22.839, 58,  0,   0.607,   4.436,   1.232,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:20:428, 124838064264282,    6.357,    8.000, 2700,   7.577,  94.990,  26.386,   5.988,  82.890,  23.025, 58,  0,   0.582,   4.502,   1.250,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:20:554, 124838342416546,    6.483,   19.000, 2800,  14.425,  96.807,  26.891,  12.769,  84.499,  23.472, 62,  0,   0.857,   4.610,   1.280,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:20:682, 124838625132664,    6.611,   40.000, 2600,  20.750,  99.464,  27.629,  18.910,  86.920,  24.144, 61,  0,   1.339,   4.781,   1.328,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:20:792, 124838867975105,    6.721,   58.000, 2400,  22.484, 101.937,  28.316,  20.475,  89.172,  24.770, 62,  0,   1.620,   4.959,   1.378,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:20:934, 124839181457102,    6.863,   54.000, 2200,  19.255, 104.671,  29.075,  17.325,  91.632,  25.453, 61,  0,   1.325,   5.147,   1.430,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:21:060, 124839459704253,    6.989,   37.000, 2100,  15.478, 106.621,  29.617,  13.674,  93.355,  25.932, 59,  0,   1.052,   5.280,   1.467,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:21:184, 124839733550090,    7.113,   28.000, 2200,  12.320, 108.149,  30.041,  10.630,  94.673,  26.298, 60,  0,   0.778,   5.376,   1.493,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:21:309, 124840009587660,    7.238,   28.000, 2200,  13.481, 109.835,  30.510,  11.789,  96.147,  26.708, 59,  0,   0.790,   5.475,   1.521,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:21:420, 124840254608873,    7.349,   28.000, 2300,  13.458, 111.328,  30.924,  11.807,  97.457,  27.071, 61,  0,   0.778,   5.562,   1.545,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:21:530, 124840497468042,    7.459,   35.000, 2300,  14.475, 112.920,  31.367,  12.692,  98.853,  27.459, 60,  0,   0.929,   5.664,   1.573,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:21:656, 124840775597730,    7.585,   40.000, 2300,  17.012, 115.063,  31.962,  15.188, 100.766,  27.991, 60,  0,   1.243,   5.820,   1.617,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:21:764, 124841014191192,    7.693,   57.000, 2200,  18.392, 117.050,  32.514,  16.401, 102.539,  28.483, 60,  0,   1.504,   5.983,   1.662,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:21:871, 124841250446112,    7.800,   44.000, 2100,  15.909, 118.753,  32.987,  14.038, 104.041,  28.900, 60,  0,   1.285,   6.120,   1.700,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:21:981, 124841493318648,    7.910,   29.000, 2100,  13.263, 120.212,  33.392,  11.451, 105.300,  29.250, 58,  0,   1.111,   6.243,   1.734,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:22:104, 124841764936791,    8.033,   26.000, 2200,  11.724, 121.654,  33.793,  10.027, 106.534,  29.593, 59,  0,   0.969,   6.362,   1.767,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:22:230, 124842043144445,    8.159,   25.000, 2300,  11.795, 123.140,  34.206,  10.080, 107.804,  29.946, 59,  0,   0.858,   6.470,   1.797,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:22:353, 124842314681485,    8.282,   26.000, 2400,  13.167, 124.759,  34.655,  11.503, 109.219,  30.338, 59,  0,   0.939,   6.585,   1.829,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:22:463, 124842557521988,    8.392,   40.000, 2200,  21.872, 127.165,  35.324,  15.633, 110.938,  30.816, 61,  0,   1.185,   6.716,   1.865,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:22:588, 124842833636850,    8.517,   54.000, 2000,  19.626, 129.619,  36.005,  14.737, 112.781,  31.328, 59,  0,   1.347,   6.884,   1.912,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:22:698, 124843076457714,    8.627,   30.000, 2100,  11.935, 130.932,  36.370,  10.177, 113.900,  31.639, 58,  0,   0.877,   6.981,   1.939,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:22:807, 124843317121752,    8.736,   15.000, 2300,   8.767, 131.887,  36.635,   7.041, 114.667,  31.852, 57,  0,   0.751,   7.062,   1.962,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:22:916, 124843557752674,    8.845,   14.000, 2400,   9.178, 132.887,  36.913,   7.501, 115.485,  32.079, 57,  0,   0.753,   7.144,   1.985,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:23:024, 124843796274382,    8.953,   16.000, 2600,  11.106, 134.087,  37.246,   9.522, 116.513,  32.365, 60,  0,   0.694,   7.219,   2.005,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:23:148, 124844069998587,    9.077,   30.000, 2800,  17.882, 136.304,  37.862,  16.111, 118.511,  32.920, 65,  0,   1.101,   7.356,   2.043,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:23:270, 124844339435540,    9.199,   33.000, 2600,  18.511, 138.563,  38.490,  16.628, 120.540,  33.483, 61,  0,   1.108,   7.491,   2.081,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:23:379, 124844579997810,    9.308,   29.000, 2500,  17.002, 140.415,  39.004,  15.122, 122.187,  33.941, 60,  0,   1.119,   7.613,   2.115,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:23:491, 124844827469491,    9.420,   23.000, 2600,  13.840, 141.966,  39.435,  12.013, 123.534,  34.315, 61,  0,   0.967,   7.721,   2.145,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:23:616, 124845103413124,    9.545,   22.000, 2600,  13.691, 143.677,  39.910,  11.886, 125.019,  34.728, 60,  0,   1.027,   7.850,   2.180,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:23:724, 124845341858429,    9.653,   28.000, 2600,  16.164, 145.423,  40.395,  14.424, 126.577,  35.160, 61,  0,   0.944,   7.952,   2.209,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:23:833, 124845582462915,    9.762,   29.000, 2500,  16.797, 147.253,  40.904,  14.959, 128.207,  35.613, 61,  0,   1.124,   8.074,   2.243,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:23:943, 124845825385889,    9.872,   43.000, 2500,  21.691, 149.640,  41.567,  19.688, 130.373,  36.215, 62,  0,   1.525,   8.242,   2.289,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:24:052, 124846066148545,    9.981,   28.000, 2500,  16.031, 151.388,  42.052,  14.090, 131.909,  36.641, 62,  0,   1.194,   8.372,   2.326,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:24:160, 124846304549426,   10.089,   35.000, 2400,  16.644, 153.185,  42.551,  14.746, 133.502,  37.084, 61,  0,   1.313,   8.514,   2.365,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:24:269, 124846543834443,   10.197,   34.000, 2400,  16.138, 154.934,  43.037,  14.112, 135.031,  37.509, 60,  0,   1.277,   8.652,   2.403,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:24:379, 124846786710410,   10.307,   51.000, 2200,  18.017, 156.916,  43.588,  16.032, 136.794,  37.998, 61,  0,   1.431,   8.810,   2.447,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:24:503, 124847060451815,   10.431,   42.000, 2200,  16.224, 158.927,  44.146,  14.373, 138.576,  38.493, 60,  0,   1.240,   8.963,   2.490,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:24:609, 124847296677746,   10.538,   45.000, 2100,  16.864, 160.731,  44.648,  14.924, 140.173,  38.937, 60,  0,   1.398,   9.113,   2.531,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:24:734, 124847570469770,   10.662,   41.000, 2100,  15.206, 162.617,  45.171,  13.311, 141.823,  39.395, 60,  0,   1.331,   9.278,   2.577,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:24:842, 124847809048441,   10.770,   54.000, 2000,  16.834, 164.436,  45.677,  14.883, 143.431,  39.842, 59,  0,   1.571,   9.448,   2.624,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:24:984, 124848122464634,   10.912,   44.000, 2000,  14.033, 166.428,  46.230,  12.004, 145.135,  40.315, 59,  0,   1.277,   9.629,   2.675,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:25:091, 124848358856444,   11.019,   27.000, 2100,  11.563, 167.666,  46.574,   9.636, 146.167,  40.602, 58,  0,   1.050,   9.742,   2.706,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:25:199, 124848597291038,   11.127,   31.000, 2200,  13.461, 169.119,  46.978,  11.460, 147.405,  40.946, 60,  0,   1.266,   9.878,   2.744,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:25:324, 124848873379907,   11.252,   29.000, 2200,  12.362, 170.665,  47.407,  10.490, 148.716,  41.310, 58,  0,   1.041,  10.008,   2.780,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:25:434, 124849116145014,   11.362,   18.000, 2400,  10.444, 171.813,  47.726,   8.632, 149.665,  41.574, 58,  0,   0.877,  10.105,   2.807,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:25:544, 124849359124880,   11.472,   13.000, 2600,   9.297, 172.836,  48.010,   7.514, 150.492,  41.803, 58,  0,   0.757,  10.188,   2.830,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:25:672, 124849641659650,   11.600,   13.000, 2800,  10.556, 174.187,  48.385,   8.783, 151.616,  42.116, 59,  0,   0.785,  10.288,   2.858,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:25:779, 124849880099149,   11.708,   21.000, 2800,  14.770, 175.782,  48.828,  13.023, 153.022,  42.506, 61,  0,   0.848,  10.380,   2.883,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:25:890, 124850123007612,   11.818,   12.000, 2900,  11.083, 177.001,  49.167,   9.364, 154.053,  42.792, 60,  0,   0.749,  10.462,   2.906,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:26:002, 124850370204074,   11.930,    9.000, 3100,  10.797, 178.210,  49.503,   9.161, 155.078,  43.077, 63,  0,   0.653,  10.536,   2.927,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:26:130, 124850652824926,   12.058,   10.000, 3200,  12.142, 179.764,  49.935,  10.527, 156.426,  43.452, 64,  0,   0.613,  10.614,   2.948,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:26:240, 124850895868191,   12.168,   14.000, 3200,  15.670, 181.489,  50.414,  13.996, 157.966,  43.880, 64,  0,   0.733,  10.695,   2.971,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:26:352, 124851143103800,   12.280,   14.000, 3200,  14.776, 183.144,  50.873,  13.193, 159.444,  44.290, 66,  0,   0.646,  10.767,   2.991,  45.000,  60.000, 130.000,   0.000,   0.000
10:35:26:476, 124851416865775,   12.404,   42.000, 2800,  25.857, 186.350,  51.764,  23.802, 162.395,  45.110, 63,  0,   1.301,  10.928,   3.036,  45.000,  60.000, 130.000,   0.000,   0.000
