System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
10:51:31:588, 126982390854528,    0.122,   24.000, 2600,  15.950,   1.952,   0.542,  13.138,   1.608,   0.447, 58,  0,   0.847,   0.104,   0.029,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:31:716, 126982673477592,    0.250,   21.000, 2600,  13.380,   3.665,   1.018,  11.709,   3.107,   0.863, 58,  0,   0.799,   0.206,   0.057,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:31:828, 126982920820958,    0.362,   28.000, 2600,  17.019,   5.571,   1.548,  15.208,   4.811,   1.336, 58,  0,   0.927,   0.310,   0.086,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:31:938, 126983163643768,    0.472,   28.000, 2500,  16.647,   7.402,   2.056,  14.855,   6.444,   1.790, 58,  0,   0.919,   0.411,   0.114,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:32:050, 126983410964262,    0.584,   31.000, 2500,  16.628,   9.265,   2.573,  14.639,   8.084,   2.246, 58,  0,   1.164,   0.541,   0.150,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:32:178, 126983693505991,    0.712,   30.000, 2400,  15.791,  11.285,   3.135,  14.015,   9.877,   2.744, 58,  0,   1.018,   0.671,   0.187,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:32:289, 126983938732918,    0.823,   35.000, 2400,  16.597,  13.128,   3.647,  14.697,  11.510,   3.197, 58,  0,   1.084,   0.792,   0.220,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:32:413, 126984212518730,    0.947,   27.000, 2400,  13.712,  14.829,   4.119,  12.010,  12.999,   3.611, 57,  0,   0.860,   0.898,   0.250,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:32:521, 126984451037826,    1.055,   21.000, 2500,  12.501,  16.179,   4.494,  10.356,  14.117,   3.922, 57,  0,   0.875,   0.993,   0.276,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:32:662, 126984762281402,    1.196,   21.000, 2600,  12.830,  17.988,   4.997,  10.304,  15.570,   4.325, 58,  0,   0.930,   1.124,   0.312,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:32:789, 126985042730777,    1.323,   18.000, 2700,  12.051,  19.518,   5.422,  10.352,  16.885,   4.690, 58,  0,   0.765,   1.221,   0.339,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:32:898, 126985283475904,    1.432,   21.000, 2600,  16.946,  21.366,   5.935,  12.174,  18.212,   5.059, 58,  0,   0.878,   1.317,   0.366,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:33:010, 126985530796236,    1.544,   10.000, 2600,  13.434,  22.871,   6.353,   7.079,  19.005,   5.279, 58,  0,   0.635,   1.388,   0.386,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:33:136, 126985808972366,    1.670,   10.000, 2800,   9.508,  24.069,   6.686,   7.801,  19.988,   5.552, 58,  0,   0.660,   1.471,   0.409,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:33:264, 126986091592686,    1.798,    9.000, 3000,   9.706,  25.311,   7.031,   8.067,  21.021,   5.839, 59,  0,   0.607,   1.549,   0.430,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:33:388, 126986365402828,    1.922,    9.000, 3200,  10.603,  26.626,   7.396,   8.985,  22.135,   6.149, 61,  0,   0.598,   1.623,   0.451,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:33:513, 126986641409454,    2.047,    9.000, 3300,  11.420,  28.053,   7.793,   9.773,  23.356,   6.488, 61,  0,   0.594,   1.698,   0.472,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:33:640, 126986921825238,    2.174,    8.000, 3400,  12.144,  29.596,   8.221,  10.506,  24.691,   6.859, 63,  0,   0.591,   1.773,   0.492,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:33:767, 126987202125822,    2.301,    9.000, 3400,  14.425,  31.427,   8.730,  12.797,  26.315,   7.310, 64,  0,   0.631,   1.853,   0.515,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:33:878, 126987447298134,    2.412,   10.000, 3500,  15.959,  33.199,   9.222,  14.294,  27.902,   7.751, 66,  0,   0.601,   1.919,   0.533,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:33:990, 126987694576210,    2.524,    8.000, 3500,  13.939,  34.760,   9.656,  12.308,  29.281,   8.134, 66,  0,   0.592,   1.986,   0.552,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:34:118, 126987977186758,    2.652,    9.000, 3500,  14.757,  36.649,  10.180,  13.138,  30.962,   8.601, 66,  0,   0.590,   2.061,   0.573,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:34:246, 126988259797648,    2.780,    9.000, 3500,  14.897,  38.555,  10.710,  13.270,  32.661,   9.072, 66,  0,   0.593,   2.137,   0.594,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:34:358, 126988507128025,    2.892,    9.000, 3500,  16.125,  40.362,  11.212,  14.411,  34.275,   9.521, 66,  0,   0.600,   2.205,   0.612,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:34:467, 126988747801952,    3.001,    9.000, 3500,  14.885,  41.984,  11.662,  13.273,  35.722,   9.923, 66,  0,   0.590,   2.269,   0.630,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:34:578, 126988992887224,    3.112,    8.000, 3500,  14.805,  43.628,  12.119,  13.195,  37.186,  10.330, 66,  0,   0.589,   2.334,   0.648,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:34:706, 126989275507606,    3.240,    9.000, 3500,  15.193,  45.572,  12.659,  13.569,  38.923,  10.812, 66,  0,   0.585,   2.409,   0.669,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:34:834, 126989558189728,    3.368,    9.000, 3500,  15.540,  47.562,  13.212,  13.903,  40.703,  11.306, 66,  0,   0.616,   2.488,   0.691,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:34:959, 126989834178678,    3.493,    9.000, 3500,  14.567,  49.382,  13.717,  12.932,  42.320,  11.755, 65,  0,   0.594,   2.562,   0.712,  45.000,  60.000, 130.000,   0.000,   0.000
10:51:35:070, 126990079211302,    3.604,   17.000, 3300,  20.766,  51.687,  14.357,  19.080,  44.437,  12.344, 65,  0,   0.813,   2.652,   0.737,  45.000,  60.000, 130.000,   0.000,   0.000
