System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
10:36:46:554, 125028230842980,    0.117,   20.000, 2600,  13.894,   1.620,   0.450,  11.099,   1.294,   0.360, 60,  0,   0.820,   0.096,   0.027,  45.000,  60.000, 130.000,   0.000,   0.000
10:36:46:665, 125028475890026,    0.228,   17.000, 2700,  12.138,   2.967,   0.824,  10.447,   2.454,   0.682, 61,  0,   0.717,   0.175,   0.049,  45.000,  60.000, 130.000,   0.000,   0.000
10:36:46:791, 125028754122674,    0.354,   18.000, 2700,  13.809,   4.707,   1.308,  12.124,   3.981,   1.106, 61,  0,   0.752,   0.270,   0.075,  45.000,  60.000, 130.000,   0.000,   0.000
10:36:46:919, 125029036702790,    0.482,   19.000, 2800,  13.439,   6.427,   1.785,  11.724,   5.482,   1.523, 61,  0,   0.762,   0.367,   0.102,  45.000,  60.000, 130.000,   0.000,   0.000
10:36:47:031, 125029284044616,    0.594,   35.000, 2600,  20.019,   8.670,   2.408,  18.037,   7.502,   2.084, 62,  0,   1.277,   0.510,   0.142,  45.000,  60.000, 130.000,   0.000,   0.000
10:36:47:159, 125029566656054,    0.722,   37.000, 2500,  18.388,  11.023,   3.062,  16.584,   9.625,   2.674, 63,  0,   1.175,   0.661,   0.184,  45.000,  60.000, 130.000,   0.000,   0.000
10:36:47:287, 125029849366990,    0.850,   32.000, 2500,  15.629,  13.024,   3.618,  13.771,  11.388,   3.163, 61,  0,   0.956,   0.783,   0.218,  45.000,  60.000, 130.000,   0.000,   0.000
10:36:47:415, 125030131959146,    0.978,   18.000, 2600,  11.350,  14.477,   4.021,   9.684,  12.628,   3.508, 60,  0,   0.703,   0.873,   0.243,  45.000,  60.000, 130.000,   0.000,   0.000
10:36:47:541, 125030410198882,    1.104,   13.000, 2700,  10.976,  15.860,   4.406,   9.162,  13.782,   3.828, 61,  0,   0.755,   0.968,   0.269,  45.000,  60.000, 130.000,   0.000,   0.000
10:36:47:665, 125030683985316,    1.228,   11.000, 2900,  10.021,  17.103,   4.751,   8.290,  14.810,   4.114, 61,  0,   0.651,   1.049,   0.291,  45.000,  60.000, 130.000,   0.000,   0.000
