System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
10:54:47:045, 127413962317870,    0.118,   19.000, 3000,  20.630,   2.443,   0.679,  17.142,   2.030,   0.564, 62,  0,   0.862,   0.102,   0.028,  45.000,  60.000, 130.000,   0.000,   0.000
10:54:47:171, 127414240584962,    0.244,   17.000, 2800,  20.591,   5.038,   1.399,  13.644,   3.749,   1.041, 61,  0,   0.732,   0.194,   0.054,  45.000,  60.000, 130.000,   0.000,   0.000
10:54:47:299, 127414523088709,    0.372,   24.000, 2800,  17.361,   7.259,   2.016,  15.047,   5.674,   1.576, 59,  0,   0.783,   0.294,   0.082,  45.000,  60.000, 130.000,   0.000,   0.000
10:54:47:411, 127414770465872,    0.484,   30.000, 2600,  19.148,   9.404,   2.612,  17.212,   7.603,   2.112, 59,  0,   1.106,   0.418,   0.116,  45.000,  60.000, 130.000,   0.000,   0.000
10:54:47:521, 127415013301620,    0.594,   33.000, 2500,  17.977,  11.381,   3.162,  16.105,   9.374,   2.604, 60,  0,   1.233,   0.554,   0.154,  45.000,  60.000, 130.000,   0.000,   0.000
10:54:47:665, 127415331289292,    0.738,   37.000, 2400,  17.084,  13.842,   3.845,  15.210,  11.565,   3.212, 59,  0,   1.033,   0.703,   0.195,  45.000,  60.000, 130.000,   0.000,   0.000
10:54:47:776, 127415576456060,    0.849,   28.000, 2700,  14.593,  15.462,   4.295,  12.765,  12.982,   3.606, 59,  0,   0.971,   0.811,   0.225,  45.000,  60.000, 130.000,   0.000,   0.000
10:54:47:887, 127415821501652,    0.960,   18.000, 2700,  13.798,  16.993,   4.720,  11.848,  14.297,   3.971, 59,  0,   0.832,   0.903,   0.251,  45.000,  60.000, 130.000,   0.000,   0.000
10:54:48:015, 127416104178164,    1.088,   19.000, 2700,  14.790,  18.887,   5.246,  12.385,  15.882,   4.412, 59,  0,   0.909,   1.019,   0.283,  45.000,  60.000, 130.000,   0.000,   0.000
10:54:48:207, 127416528002178,    1.280,   29.000, 2700,  15.991,  21.956,   6.099,  14.111,  18.591,   5.164, 60,  0,   0.841,   1.181,   0.328,  45.000,  60.000, 130.000,   0.000,   0.000
10:54:48:333, 127416806214730,    1.406,   16.000, 2700,  12.559,  23.539,   6.539,  10.619,  19.929,   5.536, 59,  0,   0.808,   1.283,   0.356,  45.000,  60.000, 130.000,   0.000,   0.000
10:54:48:441, 127417044758810,    1.514,   10.000, 2900,  10.317,  24.653,   6.848,   8.634,  20.862,   5.795, 59,  0,   0.654,   1.353,   0.376,  45.000,  60.000, 130.000,   0.000,   0.000
10:54:48:565, 127417318589758,    1.638,   10.000, 3300,  11.775,  26.114,   7.254,  10.004,  22.102,   6.140, 61,  0,   0.626,   1.431,   0.398,  45.000,  60.000, 130.000,   0.000,   0.000
10:54:48:692, 127417598996102,    1.765,    9.000, 3400,  12.106,  27.651,   7.681,  10.478,  23.433,   6.509, 63,  0,   0.603,   1.508,   0.419,  45.000,  60.000, 130.000,   0.000,   0.000
