System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
10:43:55:008, 125974258973978,    0.112,   13.000, 2800,  12.631,   1.409,   0.391,   9.853,   1.099,   0.305, 62,  0,   0.828,   0.092,   0.026,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:55:120, 125974506241944,    0.224,    9.000, 2900,  10.143,   2.545,   0.707,   8.515,   2.053,   0.570, 61,  0,   0.712,   0.172,   0.048,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:55:232, 125974753448330,    0.336,   14.000, 3000,  13.725,   4.082,   1.134,  12.056,   3.403,   0.945, 63,  0,   0.812,   0.263,   0.073,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:55:343, 125974998594594,    0.447,   22.000, 2900,  17.820,   6.060,   1.683,  16.059,   5.186,   1.441, 61,  0,   0.879,   0.361,   0.100,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:55:454, 125975243767334,    0.558,   23.000, 2800,  16.864,   7.933,   2.204,  15.006,   6.852,   1.903, 61,  0,   1.206,   0.495,   0.137,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:55:582, 125975526355569,    0.686,   24.000, 2800,  16.850,  10.089,   2.803,  15.136,   8.789,   2.441, 66,  0,   1.081,   0.633,   0.176,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:55:706, 125975801195888,    0.810,   15.000, 2800,  12.364,  11.628,   3.230,  10.535,  10.101,   2.806, 59,  0,   0.906,   0.746,   0.207,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:55:817, 125976047156986,    0.921,    9.000, 3000,   9.796,  12.719,   3.533,   8.196,  11.014,   3.059, 61,  0,   0.742,   0.828,   0.230,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:55:928, 125976290727500,    1.032,    3.000, 3200,   6.601,  13.448,   3.735,   4.896,  11.554,   3.209, 57,  0,   0.760,   0.912,   0.253,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:56:037, 125976531185150,    1.141,    3.000, 3400,   6.804,  14.189,   3.941,   5.174,  12.117,   3.366, 57,  0,   0.851,   1.005,   0.279,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:56:146, 125976772198826,    1.250,    3.000, 3700,   6.363,  14.883,   4.134,   4.666,  12.626,   3.507, 57,  0,   0.867,   1.100,   0.305,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:56:256, 125977015236948,    1.360,    3.000, 3900,   8.951,  15.868,   4.408,   7.321,  13.432,   3.731, 57,  0,   0.798,   1.187,   0.330,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:56:364, 125977254239440,    1.468,    1.000, 3900,   6.698,  16.593,   4.609,   5.062,  13.980,   3.883, 58,  0,   0.825,   1.277,   0.355,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:56:473, 125977493794324,    1.577,    1.000, 3900,   6.259,  17.273,   4.798,   4.556,  14.474,   4.021, 57,  0,   0.848,   1.369,   0.380,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:56:582, 125977734592367,    1.686,    1.000, 3900,   6.357,  17.966,   4.990,   4.666,  14.983,   4.162, 57,  0,   0.895,   1.466,   0.407,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:56:690, 125977972804615,    1.794,    8.000, 3900,  17.912,  19.898,   5.527,  16.398,  16.752,   4.653, 75,  0,   0.873,   1.561,   0.433,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:56:800, 125978216901574,    1.904,    4.000, 3900,  10.933,  21.107,   5.863,   9.146,  17.763,   4.934, 57,  0,   0.798,   1.649,   0.458,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:56:909, 125978457373090,    2.013,    3.000, 3900,   9.532,  22.145,   6.151,   7.949,  18.629,   5.175, 57,  0,   0.753,   1.731,   0.481,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:57:017, 125978696219860,    2.121,    0.000, 4000,   4.104,  22.589,   6.275,   2.535,  18.903,   5.251, 56,  0,   0.743,   1.811,   0.503,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:57:127, 125978938810366,    2.231,    0.000, 4000,   4.113,  23.041,   6.400,   2.525,  19.181,   5.328, 57,  0,   0.767,   1.895,   0.526,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:57:238, 125979183905730,    2.342,    0.000, 4000,   4.065,  23.492,   6.526,   2.523,  19.461,   5.406, 56,  0,   0.741,   1.978,   0.549,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:57:349, 125979428868770,    2.453,    0.000, 4000,   4.003,  23.936,   6.649,   2.427,  19.730,   5.481, 56,  0,   0.744,   2.060,   0.572,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:57:457, 125979667402114,    2.561,    1.000, 4000,   9.419,  24.954,   6.932,   4.414,  20.207,   5.613, 59,  0,   0.657,   2.131,   0.592,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:57:565, 125979906482459,    2.669,    5.000, 3800,  21.236,  27.253,   7.570,  14.429,  21.769,   6.047, 64,  0,   0.710,   2.208,   0.613,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:57:673, 125980143343006,    2.777,    2.000, 3700,  14.057,  28.761,   7.989,   7.035,  22.524,   6.257, 61,  0,   0.626,   2.275,   0.632,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:57:781, 125980383198791,    2.885,    1.000, 3900,  13.295,  30.205,   8.390,   6.359,  23.215,   6.449, 61,  0,   0.582,   2.338,   0.650,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:57:890, 125980622137572,    2.993,    0.000, 3900,  10.796,  31.374,   8.715,   3.945,  23.642,   6.567, 61,  0,   0.565,   2.399,   0.667,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:57:998, 125980862441329,    3.102,    0.000, 3900,  10.993,  32.570,   9.047,   4.095,  24.087,   6.691, 61,  0,   0.566,   2.461,   0.684,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:58:107, 125981101890972,    3.211,    0.000, 4000,  11.013,  33.764,   9.379,   4.057,  24.527,   6.813, 62,  0,   0.558,   2.522,   0.700,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:58:216, 125981343323209,    3.320,    0.000, 3900,   8.320,  34.674,   9.632,   3.916,  24.955,   6.932, 58,  0,   0.567,   2.584,   0.718,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:58:324, 125981581363918,    3.428,    1.000, 3900,   9.874,  35.739,   9.927,   5.819,  25.583,   7.106, 58,  0,   0.588,   2.647,   0.735,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:58:432, 125981819793468,    3.536,    0.000, 4000,   8.067,  36.610,  10.169,   4.056,  26.021,   7.228, 59,  0,   0.575,   2.709,   0.753,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:58:541, 125982060792266,    3.645,    0.000, 4000,   7.712,  37.451,  10.403,   3.728,  26.428,   7.341, 58,  0,   0.564,   2.771,   0.770,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:58:649, 125982298707078,    3.753,    0.000, 4000,   8.110,  38.325,  10.646,   4.071,  26.866,   7.463, 58,  0,   0.572,   2.832,   0.787,  45.000,  60.000, 130.000,   0.000,   0.000
10:43:58:756, 125982535584609,    3.860,    0.000, 4000,   7.741,  39.156,  10.877,   3.754,  27.269,   7.575, 57,  0,   0.565,   2.893,   0.804,  45.000,  60.000, 130.000,   0.000,   0.000
