System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
10:12:26:148, 121803645801532,    0.114,   10.000, 3900,  26.083,   2.963,   0.823,  22.733,   2.582,   0.717, 67,  0,   0.844,   0.096,   0.027,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:26:259, 121803890559322,    0.224,    9.000, 3900,  22.268,   5.431,   1.509,  20.539,   4.859,   1.350, 70,  0,   0.766,   0.181,   0.050,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:26:370, 121804135478767,    0.335,    9.000, 3900,  22.307,   7.905,   2.196,  20.823,   7.169,   1.991, 67,  0,   0.737,   0.263,   0.073,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:26:480, 121804379327992,    0.446,   22.000, 3900,  38.436,  12.150,   3.375,  36.294,  11.177,   3.105, 72,  0,   1.318,   0.408,   0.113,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:26:591, 121804624295882,    0.557,   30.000, 3900,  46.647,  17.325,   4.813,  44.599,  16.125,   4.479, 79,  0,   1.285,   0.551,   0.153,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:26:701, 121804867284630,    0.667,   12.000, 3900,  26.365,  20.227,   5.619,  24.516,  18.823,   5.229, 75,  0,   0.895,   0.649,   0.180,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:26:811, 121805110440528,    0.777,    7.000, 3900,  18.917,  22.310,   6.197,  16.757,  20.668,   5.741, 60,  0,   0.867,   0.745,   0.207,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:26:920, 121805350751908,    0.886,    3.000, 3900,   9.716,  23.368,   6.491,   8.037,  21.543,   5.984, 57,  0,   0.806,   0.832,   0.231,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:27:029, 121805589872922,    0.994,    2.000, 3900,   8.092,  24.244,   6.734,   6.292,  22.224,   6.173, 57,  0,   0.962,   0.937,   0.260,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:27:137, 121805829875443,    1.103,    3.000, 3900,   7.831,  25.095,   6.971,   6.145,  22.892,   6.359, 56,  0,   0.846,   1.029,   0.286,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:27:263, 121806106852314,    1.228,    0.000, 4000,   6.299,  25.885,   7.190,   4.723,  23.485,   6.524, 55,  0,   0.746,   1.122,   0.312,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:27:373, 121806350319198,    1.338,    1.000, 4000,   5.062,  26.443,   7.345,   3.380,  23.857,   6.627, 55,  0,   0.834,   1.214,   0.337,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:27:483, 121806592008994,    1.448,    3.000, 3900,   9.983,  27.536,   7.649,   8.382,  24.775,   6.882, 67,  0,   0.795,   1.301,   0.361,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:27:592, 121806834730792,    1.558,    1.000, 3900,   7.895,  28.404,   7.890,   6.079,  25.443,   7.068, 56,  0,   0.859,   1.396,   0.388,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:27:703, 121807078275247,    1.668,    2.000, 4000,  10.981,  29.615,   8.226,   7.530,  26.274,   7.298, 57,  0,   0.789,   1.482,   0.412,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:27:810, 121807314577704,    1.775,    1.000, 3900,  13.952,  31.108,   8.641,   6.992,  27.022,   7.506, 59,  0,   0.590,   1.546,   0.429,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:27:919, 121807555782888,    1.884,    1.000, 3800,  13.941,  32.631,   9.064,   7.002,  27.787,   7.719, 59,  0,   0.592,   1.610,   0.447,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:28:027, 121807793673913,    1.992,    1.000, 3900,  14.304,  34.172,   9.492,   7.481,  28.593,   7.942, 60,  0,   0.593,   1.674,   0.465,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:28:135, 121808032318126,    2.100,    1.000, 4000,  13.788,  35.663,   9.906,   6.908,  29.340,   8.150, 60,  0,   0.597,   1.739,   0.483,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:28:244, 121808272177488,    2.209,    1.000, 3700,  14.569,  37.245,  10.346,   7.683,  30.174,   8.382, 60,  0,   0.612,   1.805,   0.501,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:28:352, 121808510692406,    2.317,    7.000, 3800,  23.753,  39.811,  11.059,  16.758,  31.984,   8.885, 60,  0,   0.841,   1.896,   0.527,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:28:461, 121808751698449,    2.426,    0.000, 3900,  10.031,  40.906,  11.363,   4.765,  32.505,   9.029, 58,  0,   0.570,   1.958,   0.544,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:28:569, 121808990809452,    2.534,    1.000, 4000,   9.765,  41.964,  11.657,   5.760,  33.128,   9.202, 57,  0,   0.599,   2.023,   0.562,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:28:678, 121809232153975,    2.644,    1.000, 4000,  10.153,  43.073,  11.965,   6.043,  33.789,   9.386, 67,  0,   0.581,   2.087,   0.580,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:28:785, 121809468834587,    2.751,    0.000, 3900,   8.077,  43.939,  12.205,   4.078,  34.226,   9.507, 57,  0,   0.569,   2.148,   0.597,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:28:896, 121809711920207,    2.861,   11.000, 3900,  25.941,  46.795,  12.999,  21.649,  36.609,  10.169, 73,  0,   0.873,   2.244,   0.623,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:29:007, 121809958761499,    2.973,   40.000, 3000,  41.024,  51.381,  14.273,  36.724,  40.715,  11.310, 75,  0,   1.352,   2.395,   0.665,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:29:132, 121810234042502,    3.097,   67.000, 3900,  59.425,  58.790,  16.330,  56.775,  47.793,  13.276, 76,  0,   2.154,   2.663,   0.740,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:29:319, 121810646945947,    3.284,   32.000, 3900,  48.343,  67.830,  18.842,  45.252,  56.256,  15.627, 69,  0,   1.458,   2.936,   0.816,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:29:430, 121810893078046,    3.396,   17.000, 3900,  29.958,  71.170,  19.769,  28.051,  59.383,  16.495, 72,  0,   1.281,   3.079,   0.855,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:29:539, 121811133429660,    3.505,   13.000, 3900,  22.840,  73.656,  20.460,  21.184,  61.689,  17.136, 66,  0,   0.987,   3.186,   0.885,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:29:648, 121811373832442,    3.614,    9.000, 3900,  20.619,  75.901,  21.084,  18.670,  63.721,  17.700, 61,  0,   1.023,   3.298,   0.916,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:29:757, 121811613840536,    3.722,   10.000, 3900,  20.358,  78.114,  21.698,  18.977,  65.784,  18.273, 70,  0,   0.961,   3.402,   0.945,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:29:866, 121811854023720,    3.831,   18.000, 3900,  34.652,  81.883,  22.745,  32.460,  69.315,  19.254, 63,  0,   1.118,   3.524,   0.979,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:29:975, 121812094705080,    3.940,   10.000, 3800,  20.034,  84.067,  23.352,  18.433,  71.324,  19.812, 72,  0,   1.003,   3.633,   1.009,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:30:087, 121812341878287,    4.052,   12.000, 3600,  21.403,  86.463,  24.017,  19.581,  73.516,  20.421, 72,  0,   0.906,   3.735,   1.037,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:30:211, 121812615594208,    4.176,   22.000, 3200,  24.555,  89.507,  24.863,  22.737,  76.335,  21.204, 63,  0,   1.141,   3.876,   1.077,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:30:321, 121812858517118,    4.286,   23.000, 3000,  21.291,  91.849,  25.514,  19.300,  78.458,  21.794, 65,  0,   1.312,   4.020,   1.117,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:30:445, 121813132286831,    4.410,   32.000, 2800,  22.233,  94.606,  26.279,  20.315,  80.977,  22.494, 63,  0,   1.357,   4.189,   1.164,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:30:553, 121813370761329,    4.518,   29.000, 2700,  18.674,  96.623,  26.840,  16.661,  82.777,  22.993, 61,  0,   1.434,   4.344,   1.207,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:30:678, 121813646763612,    4.643,   16.000, 2700,  12.705,  98.211,  27.281,  10.821,  84.129,  23.369, 62,  0,   0.994,   4.468,   1.241,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:30:785, 121813883094476,    4.750,   21.000, 2700,  14.221,  99.733,  27.704,  12.298,  85.445,  23.735, 60,  0,   1.130,   4.589,   1.275,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:30:892, 121814119364936,    4.857,   30.000, 2600,  18.527, 101.716,  28.254,  16.395,  87.200,  24.222, 59,  0,   1.274,   4.725,   1.313,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:31:000, 121814358707291,    4.965,    9.000, 2800,   8.700, 102.659,  28.516,   6.875,  87.945,  24.429, 59,  0,   0.958,   4.829,   1.341,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:31:110, 121814600406398,    5.075,   13.000, 2900,  10.487, 103.807,  28.835,   8.629,  88.890,  24.692, 57,  0,   1.059,   4.945,   1.374,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:31:218, 121814839176700,    5.183,    6.000, 3100,   6.118, 104.468,  29.019,   4.392,  89.365,  24.824, 56,  0,   0.987,   5.052,   1.403,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:31:327, 121815080457378,    5.292,   10.000, 3300,  10.860, 105.655,  29.349,   9.223,  90.372,  25.103, 60,  0,   1.000,   5.161,   1.434,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:31:436, 121815320267055,    5.401,   11.000, 3300,  11.726, 106.928,  29.702,   9.903,  91.448,  25.402, 57,  0,   0.974,   5.267,   1.463,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:31:547, 121815567472793,    5.513,    5.000, 3500,   8.257, 107.853,  29.959,   6.468,  92.172,  25.603, 56,  0,   1.000,   5.379,   1.494,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:31:659, 121815813440709,    5.624,   18.000, 3400,  21.871, 110.289,  30.636,  20.226,  94.425,  26.229, 63,  0,   1.054,   5.496,   1.527,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:31:768, 121816054133010,    5.733,   12.000, 3300,  14.623, 111.883,  31.079,  12.856,  95.827,  26.619, 57,  0,   0.836,   5.587,   1.552,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:31:878, 121816297679549,    5.844,    9.000, 3400,  14.372, 113.469,  31.519,  12.661,  97.223,  27.006, 61,  0,   0.785,   5.674,   1.576,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:31:987, 121816538149379,    5.952,    6.000, 3400,  10.820, 114.647,  31.846,   9.254,  98.231,  27.286, 56,  0,   0.671,   5.747,   1.596,  45.000,  60.000, 130.000,   0.000,   0.000
10:12:32:097, 121816781540259,    6.063,    1.000, 3800,   4.213, 115.111,  31.975,   2.604,  98.518,  27.366, 56,  0,   0.810,   5.836,   1.621,  45.000,  60.000, 130.000,   0.000,   0.000
