System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
10:08:04:427, 121225763203020,    0.112,   11.000, 3900,  25.883,   2.894,   0.804,  22.262,   2.489,   0.691, 66,  0,   0.853,   0.095,   0.026,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:04:536, 121226005271646,    0.221,    9.000, 3900,  23.189,   5.436,   1.510,  21.461,   4.842,   1.345, 70,  0,   0.784,   0.181,   0.050,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:04:648, 121226250456538,    0.332,    8.000, 3900,  21.704,   7.846,   2.180,  20.063,   7.070,   1.964, 70,  0,   0.734,   0.263,   0.073,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:04:758, 121226495470798,    0.443,   20.000, 3900,  36.592,  11.907,   3.307,  34.614,  10.911,   3.031, 72,  0,   1.276,   0.405,   0.112,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:04:868, 121226736271566,    0.553,   30.000, 3900,  44.647,  16.776,   4.660,  42.649,  15.562,   4.323, 76,  0,   1.302,   0.547,   0.152,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:04:980, 121226983665986,    0.665,   15.000, 3900,  29.771,  20.112,   5.587,  27.756,  18.672,   5.187, 73,  0,   1.002,   0.659,   0.183,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:05:090, 121227226776334,    0.775,    8.000, 3900,  18.286,  22.125,   6.146,  16.120,  20.447,   5.680, 59,  0,   0.886,   0.756,   0.210,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:05:198, 121227466455760,    0.883,    3.000, 3900,  10.715,  23.288,   6.469,   8.933,  21.417,   5.949, 58,  0,   0.860,   0.850,   0.236,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:05:306, 121227705397530,    0.991,    3.000, 3900,   9.401,  24.305,   6.752,   7.691,  22.249,   6.180, 57,  0,   0.871,   0.944,   0.262,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:05:416, 121227947188530,    1.101,    1.000, 4000,   6.655,  25.034,   6.954,   4.925,  22.788,   6.330, 56,  0,   0.896,   1.042,   0.289,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:05:525, 121228188278570,    1.210,    2.000, 4000,   6.697,  25.765,   7.157,   5.057,  23.340,   6.483, 56,  0,   0.850,   1.135,   0.315,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:05:634, 121228427901264,    1.319,    1.000, 3900,   6.788,  26.502,   7.362,   5.091,  23.893,   6.637, 56,  0,   0.910,   1.234,   0.343,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:05:742, 121228667116882,    1.427,    2.000, 4000,   7.532,  27.318,   7.588,   5.844,  24.526,   6.813, 56,  0,   0.864,   1.327,   0.369,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:05:852, 121228910484148,    1.537,    2.000, 3900,   7.316,  28.124,   7.812,   5.618,  25.145,   6.985, 55,  0,   0.837,   1.419,   0.394,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:05:961, 121229151725281,    1.646,    1.000, 3900,   6.667,  28.853,   8.015,   5.084,  25.701,   7.139, 55,  0,   0.866,   1.514,   0.421,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:06:072, 121229395554336,    1.757,    1.000, 3900,   5.856,  29.500,   8.194,   4.093,  26.153,   7.265, 55,  0,   0.853,   1.608,   0.447,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:06:180, 121229633547396,    1.865,    8.000, 3900,  17.278,  31.362,   8.712,  15.620,  27.836,   7.732, 57,  0,   0.753,   1.689,   0.469,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:06:288, 121229872618710,    1.973,    7.000, 3700,  20.659,  33.599,   9.333,  15.475,  29.512,   8.198, 65,  0,   0.894,   1.786,   0.496,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:06:396, 121230111928630,    2.081,    2.000, 3700,  15.031,  35.228,   9.786,   8.257,  30.407,   8.446, 67,  0,   0.617,   1.853,   0.515,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:06:504, 121230349073860,    2.189,    1.000, 3900,  13.651,  36.694,  10.193,   6.757,  31.133,   8.648, 60,  0,   0.586,   1.916,   0.532,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:06:613, 121230590319782,    2.298,    0.000, 4000,  12.235,  38.031,  10.564,   5.296,  31.711,   8.809, 60,  0,   0.580,   1.979,   0.550,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:06:721, 121230828983707,    2.406,    6.000, 3800,  21.386,  40.342,  11.206,  14.578,  33.287,   9.246, 63,  0,   0.714,   2.057,   0.571,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:06:830, 121231069182492,    2.515,   10.000, 3700,  25.809,  43.150,  11.986,  18.812,  35.333,   9.815, 68,  0,   0.812,   2.145,   0.596,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:06:941, 121231314071479,    2.626,   17.000, 3700,  35.756,  47.116,  13.088,  29.186,  38.570,  10.714, 69,  0,   1.010,   2.257,   0.627,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:07:053, 121231561356963,    2.738,   68.000, 3100,  58.619,  53.681,  14.911,  52.930,  44.498,  12.361, 80,  0,   2.006,   2.482,   0.689,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:07:181, 121231844034746,    2.866,   62.000, 3800,  54.493,  60.657,  16.849,  48.600,  50.720,  14.089, 79,  0,   1.871,   2.721,   0.756,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:07:290, 121232084743794,    2.975,   29.000, 3200,  34.456,  64.414,  17.893,  30.064,  53.998,  14.999, 67,  0,   1.407,   2.875,   0.798,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:07:400, 121232327743308,    3.085,   13.000, 3200,  15.679,  66.139,  18.372,  13.852,  55.522,  15.423, 65,  0,   0.967,   2.981,   0.828,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:07:508, 121232566267480,    3.193,    7.000, 3400,   8.842,  67.094,  18.637,   7.172,  56.297,  15.638, 57,  0,   0.887,   3.077,   0.855,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:07:615, 121232802296346,    3.300,   14.000, 3300,  16.499,  68.858,  19.127,  14.694,  57.868,  16.074, 58,  0,   1.119,   3.196,   0.888,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:07:723, 121233041061574,    3.408,    9.000, 3300,  12.525,  70.212,  19.503,  10.771,  59.032,  16.398, 62,  0,   0.944,   3.298,   0.916,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:07:832, 121233281081021,    3.517,   18.000, 3200,  19.533,  72.336,  20.093,  17.759,  60.963,  16.934, 65,  0,   1.103,   3.418,   0.950,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:07:944, 121233528365438,    3.629,   13.000, 3100,  15.350,  74.055,  20.571,  13.592,  62.485,  17.357, 58,  0,   0.925,   3.522,   0.978,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:08:052, 121233767682769,    3.737,    8.000, 3300,  11.145,  75.263,  20.906,   9.361,  63.500,  17.639, 61,  0,   0.949,   3.625,   1.007,  45.000,  60.000, 130.000,   0.000,   0.000
10:08:08:162, 121234010821899,    3.847,   12.000, 3200,  15.985,  77.023,  21.395,  14.235,  65.067,  18.074, 66,  0,   0.942,   3.729,   1.036,  45.000,  60.000, 130.000,   0.000,   0.000
